Location name,Amount spent (THB)
Amnat Charoen,≤100
Ang Thong,≤100
Ayutthaya,267
Bangkok,5823
Bueng Kan,≤100
Buriram,267
Chachoengsao,156
Chai Nat,≤100
Chaiyaphum,214
Chanthaburi,143
Chiang Mai,988
Chiang Rai,301
Chon Buri,764
Chumphon,135
Kalasin,154
Kamphaeng Phet,299
Kanchanaburi,182
Khon Kaen,589
Krabi,158
Lampang,184
Lamphun,140
Loei,142
Lop Buri,156
Mae Hong Son,≤100
Maha Sarakham,198
Mukdahan,≤100
Nakhon Nayok,≤100
Nakhon Pathom,250
Nakhon Phanom,131
Nakhon Ratchasima,651
Nakhon Sawan,314
Nakhon Si Thammarat,397
Nan,≤100
Narathiwat,157
Nong Bua Lam Phu,≤100
Nong Khai,115
Nonthaburi,594
Pathum Thani,365
Pattani,185
Phangnga,≤100
Phatthalung,123
Phayao,112
Phetchabun,156
Phetchaburi,340
Phichit,172
Phitsanulok,536
Phrae,≤100
Phuket,258
Prachin Buri,130
Prachuap Khiri Khan,123
Ranong,≤100
Ratchaburi,175
Rayong,285
Roi Et,198
Sa Kaeo,108
Sakon Nakhon,269
Samut Prakan,270
Samut Sakhon,212
Samut Songkhram,≤100
Saraburi,173
Satun,≤100
Sing Buri,≤100
Sisaket,229
Songkhla,827
Sukhothai,208
Suphan Buri,194
Surat Thani,375
Surin,262
Tak,132
Trang,151
Trat,≤100
Ubon Ratchathani,386
Udon Thani,322
Unknown,≤100
Uthai Thani,≤100
Uttaradit,≤100
Yala Province,138
Yasothon,592
