Location name,Amount spent (NGN)
Abia State,45287
Adamawa State,9021
Akwa Ibom State,17074
Anambra State,19851
Bauchi State,6650
Bayelsa State,6638
Benué State,6627
Borno State,8020
Cross River State,4727
Delta State,28815
Ebonyi State,2521
Edo State,16388
Ekiti State,3494
Enugu State,21259
Federal Capital Territory,73478
Gombe State,9079
Imo State,27331
Jigawa State,2597
Kaduna State,35910
Kano State,44092
Katsina State,6783
Kebbi State,2192
Kogi State,5644
Kwara State,17477
Lagos State,253248
Nasarawa State,5707
Niger State,7827
Ogun State,8465
Ondo State,6671
Osun State,6754
Oyo State,31715
Plateau State,12026
Rivers State,58017
Sokoto State,7916
Taraba State,4990
Unknown,156
Yobe State,3154
Zamfara State,2966
