Location name,Amount spent (NGN)
Abia State,2445
Adamawa State,1241
Akwa Ibom State,2742
Anambra State,1630
Bauchi State,1089
Bayelsa State,430
Benué State,781
Borno State,1380
Cross River State,1038
Delta State,4299
Ebonyi State,352
Edo State,2349
Ekiti State,392
Enugu State,2466
Federal Capital Territory,12180
Gombe State,554
Imo State,1854
Jigawa State,314
Kaduna State,4466
Kano State,6574
Katsina State,1067
Kebbi State,371
Kogi State,1297
Kwara State,1977
Lagos State,18995
Nasarawa State,868
Niger State,1695
Ogun State,1278
Ondo State,1067
Osun State,1122
Oyo State,4361
Plateau State,1967
Rivers State,4441
Sokoto State,1596
Taraba State,2073
Unknown,≤100
Yobe State,682
Zamfara State,519
