Page ID,Page name,Disclaimer,Amount spent (VND),Number of ads in Library
280124715749325,Sự Thật Về Pháp Luân Công,Sự Thật Về Pháp Luân Công,409559,3
107940495397632,Tiệm sách lịch sử,These ads ran without a disclaimer,365452,4
200480966638039,Supremacy 1914,These ads ran without a disclaimer,255181,2
1831330046916094,Tuyển Dụng Giáo Viên Hà Nội,Tuyển Dụng Giáo Viên Hà Nội,175435,4
105390405730263,Kiến thức thời 5.0,These ads ran without a disclaimer,159682,1
103403077832667,Hóng Express,Hóng Express,158466,1
919479674872321,Báo Nghệ An,Báo Nghệ An,149435,2
289040404770754,DẠY CẮT MAY THỜI TRANG LINKmode,These ads ran without a disclaimer,140532,2
654396084640049,IMM GROUP,IMM Group,114219,1
593733120964894,Chuyên khoa Giảm Béo Nữ - Viện thẩm mỹ Nevada,These ads ran without a disclaimer,96901,1
101914358044085,Tài Liệu Ôn Thi Viên Chức Giáo Dục,Tài Liệu Ôn Thi Viên Chức Giáo Dục,50579,2
106864984981716,Tài liệu ôn thi viên chức giáo viên TP. HCM,Tài liệu ôn thi viên chức giáo viên TP. HCM,49500,2
165600847322369,Tài Liệu Thi Viên Chức Giáo Dục Bình Định-Phú Yên,Tài Liệu Thi Viên Chức Giáo Dục Bình Định-Phú Yên,24182,2
915454735170764,Tani Comfort,These ads ran without a disclaimer,17940,1
101892632874302,Đầu Tư Vững - Sinh Lợi Vàng,These ads ran without a disclaimer,15701,3
2176902272336881,Bệnh viện Đông Đô,These ads ran without a disclaimer,15547,1
108562495293165,Energy Asia,These ads ran without a disclaimer,12557,1
154875531802117,Chủ đầu tư Picity High Park quận 12,These ads ran without a disclaimer,9152,10
32882825451,Diasporic Vietnamese Artists Network (DVAN),These ads ran without a disclaimer,4694,1
1044899408950043,May Space,These ads ran without a disclaimer,958,1
103216429201187,Đất Đẹp Giá Đầu Tư,These ads ran without a disclaimer,558,1
75608370019,United States Institute of Peace,These ads ran without a disclaimer,≤100,1
630406247597638,ImpactWayv,These ads ran without a disclaimer,≤100,1
100627069630168,Cecília Martins,These ads ran without a disclaimer,≤100,2
669307523469574,EveryJew,These ads ran without a disclaimer,≤100,6
107201140790723,CHD,These ads ran without a disclaimer,≤100,1
287842647957979,EU International Partnerships,These ads ran without a disclaimer,≤100,1
100166023026388,Youwei-029,These ads ran without a disclaimer,≤100,1
101749628198714,Promova,These ads ran without a disclaimer,≤100,2
111014438406253,Trendyspread shop1,These ads ran without a disclaimer,≤100,1
101584952237158,Fer Barcelar,These ads ran without a disclaimer,≤100,1
