Location name,Amount spent (NGN)
Abia State,1389
Adamawa State,553
Akwa Ibom State,1001
Anambra State,518
Bauchi State,310
Bayelsa State,202
Benué State,291
Borno State,471
Cross River State,370
Delta State,25187
Ebonyi State,237
Edo State,633
Ekiti State,395
Enugu State,529
Federal Capital Territory,6689
Gombe State,1726
Imo State,512
Jigawa State,109
Kaduna State,1450
Kano State,1604
Katsina State,316
Kebbi State,≤100
Kogi State,265
Kwara State,512
Lagos State,22080
Nasarawa State,269
Niger State,1274
Ogun State,392
Ondo State,1035
Osun State,601
Oyo State,2099
Plateau State,653
Rivers State,3996
Sokoto State,982
Taraba State,204
Unknown,≤100
Yobe State,217
Zamfara State,172
