Page ID,Page name,Disclaimer,Amount spent (SEK),Number of ads in Library
371791194529,Världsnaturfonden WWF,Världsnaturfonden WWF,23420,24
126567104406,Hyresgästföreningen,Hyresgästföreningen,21085,55
151159271594797,Systembolaget,Systembolaget,17712,5
161213770567846,Operation Smile Sverige,Operation Smile Sverige,17355,14
122854408319,Hjärt-Lungfonden,Hjärt-lungfonden,16633,8
111630258867610,Röda Korset,Röda Korset,15114,30
608975645850217,Vattenfall,Vattenfall Sverige,14701,21
72659261793,Rädda Barnen,Rädda Barnen,12235,82
197334613725511,Act Svenska kyrkan,Act Svenska kyrkan,11623,13
643137272398136,Sverige för UNHCR,Sverige för UNHCR,11260,20
369582590803,Dagens ETC,ETC-tidningarna,9913,50
68115370786,Läkare Utan Gränser (MSF),Läkare Utan Gränser/ Médecins sans Frontières (MSF Sweden),6437,30
95735961890,Greenpeace Sverige,Greenpeace Sverige,5952,153
130927360876045,Tidningen Näringslivet,Tidningen Näringslivet,5059,55
90882504375,Svenskt Näringsliv,Svenskt Näringsliv,4473,50
382243262003,Plan International Sverige,Plan International Sverige,4248,9
42676805259,Diakonia,Diakonia,3812,13
115317275164993,RFSU,RFSU,3661,7
162985227114132,Skellefteå Kraft,Skellefteå Kraft,3635,12
186513678039755,Fortum,Fortum Sverige,3283,34
279974638809211,Oxfam Sverige,Oxfam Sverige,3144,7
237813956289260,Maskrosbarn,Maskrosbarn,3107,7
188616781161573,World Animal Protection Sverige,World Animal Protection Sverige,2976,41
59324455950,UNICEF Sverige,UNICEF Sverige,2683,9
19746853632,Djurens Rätt,Djurens Rätt,2681,2
205373616736,Avfall Sverige,Avfall Sverige,2652,5
203547006337155,Göteborgs Stadsmission,Göteborgs Stadsmission,2414,5
178193355556765,Nordström Assistans AB,Nordström Assistans AB,2367,7
176527602394716,Olivia Personlig Assistans AB,Olivia Personlig Assistans AB,2366,5
128452220525979,CIVIL RIGHTS DEFENDERS,CIVIL RIGHTS DEFENDERS,2229,11
109886133732943,RESCUE - Sverige,RESCUE - Sverige,2126,3
236879092476,Håll Sverige Rent,Håll Sverige Rent,1985,22
379686162129542,Svea Bank,Svea Ekonomi,1925,7
440345132668081,UL,UL,1744,1
195379633820701,Svenskt Kött,Svenskt Kött,1699,25
115756055102646,Kura Omsorg  i Sverige AB,Kura Omsorg  i Sverige AB,1621,4
314872662206,Ekonomifakta,Ekonomifakta,1576,73
100253435575183,EPHI - Environment and Public Health Institute,Environment and Public Health Institute,1555,7
153270724787,Amnesty International Sverige,Amnesty International Sverige,1546,18
381175618637391,Liberalerna Kronoberg,Liberalerna,1288,1
153028052500,Kvinna till Kvinna,Stiftelsen Kvinna till Kvinna,1251,2
37267060518,Världens Barn,Världens Barn,1154,8
234172635050,Forum för levande historia,Forum för levande historia,1059,6
899603916845362,JAG Personlig assistans,JAG Personlig assistans,981,3
110723197258182,Sverige inför verkligheten,Sverige inför verkligheten,978,2
989752884508948,Muharrem Demirok,Centerpartiet,963,2
276108117859,Svenska Afghanistankommittén,Svenska Afghanistankommittén,958,26
109609604086656,Vejpkollen.se,Vejpkollen.se,948,2
129841741852473,Folkhälsodalen,Folkhälsodalen,928,12
103296115466644,Skattenytta,Kommissionen för Skattenytta,910,11
676246449160270,Sverigedemokraterna,Sverigedemokraterna,865,6
249195615122371,Sara Skyttedal,Sara Skyttedal,844,2
106579105171694,ETC nyhetsmagasin,ETC Media AB,827,1
171919835807,TCO,TCO,807,7
8040892957,Socialdemokraterna,Socialdemokraterna,753,24
150909028299502,Jernkontoret,Jernkontoret,738,6
1422453991349793,Akademi Norr,Akademi Norr,727,1
104902269544771,SLU,"SLU, Sveriges lantbruksuniversitet",699,3
12690894340,Centerpartiet,Centerpartiet,683,13
309283471958,Hyresgästföreningen Region Sydost,Hyresgästföreningen Region Sydost,658,24
237146235237,Timbro,Tankesmedjan Timbro,658,51
245214805905370,Konkret,Opulens Förlag AB,640,10
56002955332,Jörgen Warborn,Moderaterna,601,1
166406746310,Resumé,Resumé,594,2
72832167834,Skattebetalarnas Förening,Skattebetalarnas Förening,586,15
518144408210153,Våra barns klimat,Våra barns klimat,583,4
179931025357058,Kommunal,Kommunal,565,5
328754490337,Vårdförbundet,Vårdförbundet,536,21
107898832590939,European Commission,European Commission,521,2
1729304067391998,Sverigedemokraterna Stockholm,SD Stockholms stad,518,3
108492218918,IF Metall,IF Metall,506,2
104952875797501,Carina Ohlsson,Svenska socialdemokrater i Europaparlamentet,498,2
534553447006742,Klimatklubben,Klimatklubben,494,5
113006852188985,IM Individuell Människohjälp,IM Individuell Människohjälp,494,1
356032977210,Vi-skogen,Vi-skogen,491,11
343591900666,Gröna Lund,The Amazing Society,489,1
223302541061447,Nema Problema,Nema Problema,482,9
387421644643053,Hyresgästföreningen BohusÄlvsborg-Skaraborg,Hyresgästföreningen BohusÄlvsborg-Skaraborg,482,18
1042091032500520,Kvartal,Kvartal,475,7
261455205686,LRF,LRF,474,2
732284166977797,Odlarna.se,Odlarna.se,472,4
181590825305317,COWI Sverige,COWI Sverige,464,2
18880778360,ActionAid Sweden,ActionAid Sweden,443,1
296423575695,Afrikagrupperna,Afrikagrupperna,441,6
212604496324,Fackförbundet ST,Fackförbundet ST,439,27
1633181116933852,SvD Junior,SvD Junior (SvD),438,16
167036616661188,Sverigedemokraterna Malmö,Sverigedemokraterna Malmö,428,2
312084019369,Dagens Medicin,Dagens Medicin,422,1
393959767360779,Sverigedemokraterna Region Skåne,Sverigedemokraterna Region Skåne,404,9
273053169937029,ClimateHero,ClimateHero,400,7
1267325956645384,Bonzi,Bonzi,396,3
173745622660246,Bring Sverige,Bring Sverige,372,1
1495636290691848,Vänsterpartiet Stockholms stad,Vänsterpartiet Stockholm stad,371,2
133148933394485,Socialdemokraterna i Malmö,Socialdemokraterna i Malmö,365,3
539297539496434,Dagens Samhälle,Dagens Samhälle,363,1
