Location name,Amount spent (NGN)
Abia State,23002
Adamawa State,9514
Akwa Ibom State,17562
Anambra State,14521
Bauchi State,8155
Bayelsa State,2063
Benué State,6884
Borno State,10251
Cross River State,4677
Delta State,12810
Ebonyi State,4485
Edo State,19880
Ekiti State,4236
Enugu State,13909
Federal Capital Territory,41621
Gombe State,4838
Imo State,7675
Jigawa State,3476
Kaduna State,27178
Kano State,83795
Katsina State,7534
Kebbi State,2909
Kogi State,5551
Kwara State,16883
Lagos State,164473
Nasarawa State,6667
Niger State,6650
Ogun State,7957
Ondo State,6806
Osun State,9989
Oyo State,39352
Plateau State,11711
Rivers State,33045
Sokoto State,7876
Taraba State,3606
Unknown,980
Yobe State,2815
Zamfara State,2276
