Page ID,Page name,Disclaimer,Amount spent (SEK),Number of ads in Library
643137272398136,Sverige för UNHCR,Sverige för UNHCR,158961,58
126567104406,Hyresgästföreningen,Hyresgästföreningen,49827,116
197334613725511,Act Svenska kyrkan,Act Svenska kyrkan,35944,18
608975645850217,Vattenfall,Vattenfall Sverige,28137,18
109886133732943,RESCUE - Sverige,RESCUE - Sverige,20557,5
203547006337155,Göteborgs Stadsmission,Göteborgs Stadsmission,18383,62
59324455950,UNICEF Sverige,UNICEF Sverige,17745,31
122854408319,Hjärt-Lungfonden,Hjärt-Lungfonden,15639,8
2194546487442221,Neste,Neste,13758,4
382243262003,Plan International Sverige,Plan International Sverige,12947,23
72659261793,Rädda Barnen,Rädda Barnen,11578,105
371791194529,Världsnaturfonden WWF,Världsnaturfonden WWF,11009,36
95735961890,Greenpeace Sverige,Greenpeace Sverige,9918,94
68115370786,Läkare Utan Gränser (MSF),Läkare Utan Gränser/ Médecins sans Frontières (MSF Sweden),8790,42
111630258867610,Röda Korset,Röda Korset,7962,26
130927360876045,Tidningen Näringslivet,Tidningen Näringslivet,6177,65
42676805259,Diakonia,Diakonia,6080,41
105462524358269,Den Svenska Gruvan,Den Svenska Gruvan,5726,6
19746853632,Djurens Rätt,Djurens Rätt,4743,3
186513678039755,Fortum,Fortum Sverige,4511,25
162985227114132,Skellefteå Kraft,Skellefteå Kraft,4328,6
212604496324,Fackförbundet ST,Fackförbundet ST,4110,77
161213770567846,Operation Smile Sverige,Operation Smile Sverige,4053,3
369582590803,Dagens ETC,ETC-tidningarna,4009,28
212049035488183,The Hunger Project Sverige,The Hunger Project Sverige,3420,11
90882504375,Svenskt Näringsliv,Svenskt Näringsliv,3088,16
153270724787,Amnesty International Sverige,Amnesty International Sverige,2679,23
314872662206,Ekonomifakta,Ekonomifakta,2497,18
18880778360,ActionAid Sweden,ActionAid Sweden,2412,12
128452220525979,CIVIL RIGHTS DEFENDERS,CIVIL RIGHTS DEFENDERS,2199,8
114262485262083,Konsumentverket,Konsumentverket,2111,1
115403725210334,Hand in Hand Sweden,Hand in Hand Sweden,1851,1
578953655567499,Jörgen Astonson Solidaritet Igen,ETC Media AB,1800,1
236221570038,BRIS: Barnens Rätt I Samhället,BRIS: Barnens Rätt I Samhället,1749,8
237813956289260,Maskrosbarn,Maskrosbarn,1719,10
296423575695,Afrikagrupperna,Afrikagrupperna,1561,31
111842515680597,Hyresgästföreningen Norrland,Hyresgästföreningen,1543,12
356032977210,Vi-skogen,Vi-skogen,1414,22
175843834306,WaterAid Sverige,WaterAid Sverige,1408,16
140417992681511,Clowner utan Gränser,Clowner utan Gränser,1324,12
235650011981,SPF Seniorerna,SPF Seniorerna,1320,2
293679875824,Svenska FN-förbundet,Svenska FN-förbundet,1297,4
62185934430,Olof Palmes internationella center,Olof Palmes Internationella Center,1142,7
111699453757094,Soft Towel Games,These ads ran without a disclaimer,1118,1
112338252157105,Viskadalen,Viskadalen,1112,3
412192732132640,ECPAT Sverige,ECPAT Sverige,1020,20
103296115466644,Skattenytta,Kommissionen för Skattenytta,1011,10
299065246064,"Seko, Service- och kommunikationsfacket","Seko, Service- och kommunikationsfacket",1004,1
153028052500,Kvinna till Kvinna,Stiftelsen Kvinna till Kvinna,998,3
113006852188985,IM Individuell Människohjälp,IM Individuell Människohjälp,994,12
123910440019,Renew Europe,Renew Europe Group,991,4
87535551716,Världskulturmuseet,These ads ran without a disclaimer,990,2
100941935326134,RekonstruktionsGruppen,Rekonstruktionsgruppen Sverige AB,978,1
109969847586061,Morgon-Tidningen,AIP Media,956,3
293678655099,Europaparlamentets kontor i Sverige,Europaparlamentets kontor i Sverige,906,4
237146235237,Timbro,Tankesmedjan Timbro,879,28
188616781161573,World Animal Protection Sverige,World Animal Protection Sverige,868,14
208751565805849,Stiftelsen Expo,Stiftelsen Expo,830,2
266170183550491,Nya Kompisbyrån,Nya Kompisbyrån,808,7
1451330355093804,Myndigheten för delaktighet,Myndigheten för delaktighet,806,34
249195615122371,Sara Skyttedal,Sara Skyttedal,769,1
379686162129542,Svea Bank,Svea Ekonomi,766,5
312084019369,Dagens Medicin,Dagens Medicin,716,2
178362315106,European Parliament,European Parliament,713,11
106579105171694,ETC nyhetsmagasin,ETC Media AB,704,2
382066395683576,Dustin,Dustin,665,2
309283471958,Hyresgästföreningen Region Sydost,Hyresgästföreningen Region Sydost,648,14
324914190902686,Magasinet Paragraf,Magasinet Paragraf,648,1
300290481979,Södertälje kommun,Södertälje kommun,643,2
120745044633792,Lunds universitet,Lunds universitet,634,2
122512491125750,Ängelholms kommun,Ängelholms kommun,609,4
273053169937029,ClimateHero,ClimateHero,587,7
149155351773944,SEB,SEB,586,2
175656912484553,Unionen,Unionen,585,7
1531320107133721,Syre,Dagens O2 AB,572,4
840264879353861,Ellevio,Ellevio,557,20
110752522319286,Volontärbyrån,Volontärbyrån,543,7
429354810518636,Johan Nissinen MEP,Nissinen Johan Harry,538,1
237952092910326,Diskrimineringsombudsmannen,Diskrimineringsombudsmannen,533,1
216625221784563,Alkompis  الكومبس,Alkompis  الكومبس,531,6
328754490337,Vårdförbundet,Vårdförbundet,529,36
110723197258182,Sverige inför verkligheten,Tankesmedjan Tiden,497,2
387421644643053,Hyresgästföreningen BohusÄlvsborg-Skaraborg,Hyresgästföreningen BohusÄlvsborg-Skaraborg,495,20
239855722130,Nyhetsmagasinet Fokus,Fokus,471,6
103312943103451,Jönköpings kommun,KSMG,470,1
110813562940,Vision,Vision,461,1
173745622660246,Bring Sverige,Bring Sverige,411,1
153386171353294,LRF Västra Sverige,LRF Västra Sverige,400,1
125440780804852,Childhood,Childhood,397,2
443074205755544,Socialdemokraterna i Skara,Socialdemokraterna i Skara,392,1
166406746310,Resumé,Resumé,382,1
306583979393918,Fredens Hus,Fredens Hus,382,3
190577763347,Svenska Turistföreningen,Svenska Turistföreningen,379,1
261455205686,LRF,LRF,378,14
539297539496434,Dagens Samhälle,Dagens Samhälle,375,1
306914332842630,Energimyndigheten,Energimyndigheten,362,10
276108117859,Svenska Afghanistankommittén,Svenska Afghanistankommittén,361,13
965458110149319,Byggindustrin,Byggindustrin,336,1
303557933102892,Rädda Regnskog,Pella Thiel,336,8
190533360983432,FUF - Föreningen för Utvecklingsfrågor,Föreningen för Utvecklingsfrågor,327,4
179931025357058,Kommunal,Kommunal,325,5
109151468296542,Partiet MoD,MoD Ideell förening,323,6
320930784643530,Storasyster,Storasyster,309,1
183512318424647,Magdalena Andersson,Socialdemokraterna,298,2
135062563176874,Utrikespolitiska Institutet,Utrikespolitiska Institutet,292,5
129841741852473,Folkhälsodalen,Folkhälsodalen,284,3
821885161236997,Vänsterpartiet Centrum Göteborg,Vänsterpartiet Centrum Göteborg,282,3
722853564439941,Gustav Hemming,Centerpartiet Region Stockholm,275,1
505229989560231,Kristdemokraterna i Skåne,Kristdemokraterna i Skåne,274,2
125777020786691,Mikael Damberg,Socialdemokraterna,273,2
100394276688509,Halmstads kommun,Halmstads kommun,272,1
131482086868788,Kristdemokraterna i Linköping,Kristdemokraterna i Linköping,265,1
294444197371898,Byggnads Skåne,Byggnads Skåne,246,1
368972829945550,AP7 Statens premiepensionsfonder,AP7,242,5
113710601984970,Barnfonden,Barnfonden,239,1
1545369075688158,Brottsofferjouren Sverige,Brottsofferjouren Sverige,236,8
266083410123678,Moderaterna i Haninge,Moderaterna Haninge,228,1
223053457729155,Unga Örnar,Unga Örnars Riksförbund,225,8
152085291138,Aktuellt i Politiken,Aktuellt i Politiken,222,2
72832167834,Skattebetalarnas Förening,Skattebetalarnas Förening,222,6
