Page ID,Page name,Disclaimer,Amount spent (EGP),Number of ads in Library
798673866859390,ETC TV,ETC TV,5174,34
100857675472522,ScreeN+,Mahmoud Elfeky,976,2
100835565731657,Ahmed Amin Massoud - أحمد أمين مسعود,Ahmed Amin Massoud - أحمد أمين مسعود,597,2
102883459081121,Mohamed Taher - محمد طاهر,Mohamed Taher - محمد طاهر,419,4
101531545886809,معاً لانقاذ المهندس المصرى خالد سعد زغلول,Mona Mostafa,406,2
110877857406073,المهندس حسام لبن,المهندس حسام لبن,396,5
192320965049184,الإعلامية نيفين منصور,Nivine Mansour,346,4
108210648333964,محمود طاهر -Mahmoud Taher,محمود طاهر -Mahmoud Taher,335,2
2035593490055091,النائب عمرو القطامي,سيد أحمد,327,2
114229523780037,أحمد إبراهيم البنا - Ahmed Ibrahim Elbanna,Ahmed El Banna,302,1
102753775202257,جائزة الدولة للمبدع الصغير,جائزة الدولة للمبدع الصغير,295,1
105096455624550,Tamer abdelhamid - تامر عبد الحميد,Tamer abdelhamid - تامر عبد الحميد,294,3
113101433777546,Essam Diab - عصام دياب,Mahmoud Mostafa Ghorab,293,2
550280998481446,Rasha Kelej,Rasha Kelej,290,3
102752291431181,المهندس حازم الجندي - Hazem ElGendy,المهندس حازم الجندي - Hazem ElGendy,218,4
1424610401122573,هاني العتال - Hany Alattal,محمد السيد عبد الستار,210,2
101586878327765,Hassanein Tawfiq - حسانين توفيق,Hassanein Tawfiq - حسانين توفيق,205,4
610094859062088,أسامة جاويش - Osama Gaweesh,These ads ran without a disclaimer,199,1
106719921012688,Ahmed Bahaa Shalaby-أحمد بهاء شلبي,Integrated Marketing Communications For Media.IMC,193,6
111393504057042,د/ مها عبد الناصر,د/ مها عبد الناصر,191,3
535371883202755,Freddy Elbaiady  صفحة فريدي البياضي,Freddy Elbaiady  صفحة فريدي البياضي,153,4
103745798627292,المستشار ماهر ميلاد اسكندر,المستشار ماهر ميلاد اسكندر,150,2
103571604973098,هشام حسين - Hesham Hussein,هشام حسين - Hesham Hussein,144,2
112072071382470,أحمد الفار .الصفحة الرسمية,Noha Mohamed Ibrahim,142,1
103342432124287,عبداللـه الرفاعي _ Abdullah Elrefaey,Abdullah Elrefaey,138,1
106139884888689,أحمد جمعه - فض مجالس,أحمد جمعه - فض مجالس,118,1
282759032673313,مهندس محمد سعد الصمودي,محمد سعد الصمودي,118,1
118992379972310,Fatmah Selim - فاطمة سليم,Fatmah Selim - فاطمة سليم,113,2
131814203525361,CC Plus,Nourhan Osama,112,3
354968941204659,الدكتور أيمن أبو العلا عضو مجلس النواب,الدكتور أيمن أبو العلا عضو مجلس النواب,109,6
692939830826213,Mohamed Badran  محمد بدران,Mohamed Badran  محمد بدران,106,3
1720882541553191,حسن طارق عمار - Hassan Ammar,حسن عمار,104,1
