Location name,Amount spent (NGN)
Abia State,6751
Adamawa State,6260
Akwa Ibom State,8485
Anambra State,9051
Bauchi State,6411
Bayelsa State,381
Benué State,1844
Borno State,7302
Cross River State,1834
Delta State,3606
Ebonyi State,1350
Edo State,3825
Ekiti State,738
Enugu State,3678
Federal Capital Territory,24858
Gombe State,4480
Imo State,2202
Jigawa State,2430
Kaduna State,20784
Kano State,40830
Katsina State,4540
Kebbi State,2080
Kogi State,1961
Kwara State,10815
Lagos State,159491
Nasarawa State,4322
Niger State,5110
Ogun State,2091
Ondo State,1453
Osun State,2533
Oyo State,6796
Plateau State,8283
Rivers State,13090
Sokoto State,6147
Taraba State,2113
Unknown,≤100
Yobe State,1556
Zamfara State,1360
