Location name,Amount spent (NGN)
Abia State,3951
Adamawa State,695
Akwa Ibom State,2607
Anambra State,1257
Bauchi State,849
Bayelsa State,265
Benué State,318
Borno State,715
Cross River State,865
Delta State,2341
Ebonyi State,156
Edo State,2790
Ekiti State,254
Enugu State,1462
Federal Capital Territory,9098
Gombe State,523
Imo State,1182
Jigawa State,122
Kaduna State,2014
Kano State,3000
Katsina State,368
Kebbi State,161
Kogi State,192
Kwara State,574
Lagos State,17733
Nasarawa State,385
Niger State,954
Ogun State,409
Ondo State,397
Osun State,437
Oyo State,4164
Plateau State,1424
Rivers State,4711
Sokoto State,488
Taraba State,300
Unknown,≤100
Yobe State,264
Zamfara State,199
