Location name,Amount spent (NGN)
Abia State,16292
Adamawa State,9225
Akwa Ibom State,11273
Anambra State,12943
Bauchi State,7484
Bayelsa State,2404
Benué State,6573
Borno State,9168
Cross River State,4204
Delta State,11031
Ebonyi State,3645
Edo State,16525
Ekiti State,3916
Enugu State,11874
Federal Capital Territory,37109
Gombe State,4824
Imo State,8469
Jigawa State,3099
Kaduna State,25569
Kano State,71892
Katsina State,7555
Kebbi State,3562
Kogi State,5877
Kwara State,32155
Lagos State,185500
Nasarawa State,5747
Niger State,6090
Ogun State,8230
Ondo State,7134
Osun State,18548
Oyo State,30720
Plateau State,12249
Rivers State,35832
Sokoto State,7424
Taraba State,4038
Unknown,445
Yobe State,2359
Zamfara State,3247
