Location name,Amount spent (NGN)
Abia State,2388
Adamawa State,829
Akwa Ibom State,2643
Anambra State,1524
Bauchi State,920
Bayelsa State,501
Benué State,1869
Borno State,376
Cross River State,1177
Delta State,2646
Ebonyi State,428
Edo State,1828
Ekiti State,314
Enugu State,1938
Federal Capital Territory,9752
Gombe State,1451
Imo State,1805
Jigawa State,≤100
Kaduna State,3395
Kano State,3213
Katsina State,566
Kebbi State,715
Kogi State,1477
Kwara State,1149
Lagos State,12966
Nasarawa State,452
Niger State,1302
Ogun State,576
Ondo State,635
Osun State,711
Oyo State,3970
Plateau State,1636
Rivers State,6505
Sokoto State,329
Taraba State,862
Unknown,≤100
Yobe State,220
Zamfara State,144
