Location name,Amount spent (NGN)
Abia State,3288
Adamawa State,2034
Akwa Ibom State,4360
Anambra State,5980
Bauchi State,1949
Bayelsa State,1830
Benué State,2115
Borno State,2729
Cross River State,1256
Delta State,9319
Ebonyi State,327
Edo State,1962
Ekiti State,469
Enugu State,2668
Federal Capital Territory,11844
Gombe State,5957
Imo State,2681
Jigawa State,966
Kaduna State,6512
Kano State,9895
Katsina State,2579
Kebbi State,403
Kogi State,1704
Kwara State,1866
Lagos State,146774
Nasarawa State,884
Niger State,1895
Ogun State,2014
Ondo State,1099
Osun State,1371
Oyo State,3419
Plateau State,2399
Rivers State,15804
Sokoto State,2058
Taraba State,1800
Unknown,≤100
Yobe State,914
Zamfara State,1098
