Location name,Amount spent (NGN)
Abia State,1163
Adamawa State,691
Akwa Ibom State,1061
Anambra State,719
Bauchi State,395
Bayelsa State,2349
Benué State,863
Borno State,847
Cross River State,578
Delta State,2334
Ebonyi State,231
Edo State,778
Ekiti State,320
Enugu State,730
Federal Capital Territory,7501
Gombe State,1716
Imo State,454
Jigawa State,132
Kaduna State,2403
Kano State,2932
Katsina State,542
Kebbi State,1297
Kogi State,1776
Kwara State,1564
Lagos State,12410
Nasarawa State,433
Niger State,1056
Ogun State,652
Ondo State,671
Osun State,637
Oyo State,4069
Plateau State,1138
Rivers State,3914
Sokoto State,537
Taraba State,1526
Unknown,≤100
Yobe State,336
Zamfara State,194
