Location name,Amount spent (NGN)
Abia State,4392
Adamawa State,1780
Akwa Ibom State,4090
Anambra State,5680
Bauchi State,1496
Bayelsa State,441
Benué State,1873
Borno State,1619
Cross River State,1149
Delta State,3107
Ebonyi State,425
Edo State,2397
Ekiti State,533
Enugu State,3856
Federal Capital Territory,8713
Gombe State,5952
Imo State,1679
Jigawa State,710
Kaduna State,7311
Kano State,6805
Katsina State,1454
Kebbi State,299
Kogi State,2172
Kwara State,2126
Lagos State,109559
Nasarawa State,822
Niger State,1635
Ogun State,2134
Ondo State,739
Osun State,1213
Oyo State,3703
Plateau State,2045
Rivers State,10516
Sokoto State,1399
Taraba State,1144
Unknown,≤100
Yobe State,745
Zamfara State,538
