Location name,Amount spent (NGN)
Abia State,1498
Adamawa State,1262
Akwa Ibom State,906
Anambra State,1192
Bauchi State,1215
Bayelsa State,235
Benué State,622
Borno State,1598
Cross River State,596
Delta State,1694
Ebonyi State,175
Edo State,1151
Ekiti State,482
Enugu State,1201
Federal Capital Territory,9233
Gombe State,744
Imo State,739
Jigawa State,304
Kaduna State,2917
Kano State,7512
Katsina State,1070
Kebbi State,106
Kogi State,764
Kwara State,1452
Lagos State,37170
Nasarawa State,678
Niger State,883
Ogun State,1126
Ondo State,639
Osun State,1397
Oyo State,4293
Plateau State,1501
Rivers State,6146
Sokoto State,1073
Taraba State,704
Unknown,707
Yobe State,1833
Zamfara State,325
