Location name,Amount spent (NGN)
Abia State,1471
Adamawa State,1516
Akwa Ibom State,1891
Anambra State,2244
Bauchi State,900
Bayelsa State,344
Benué State,664
Borno State,748
Cross River State,742
Delta State,1816
Ebonyi State,324
Edo State,2153
Ekiti State,280
Enugu State,1181
Federal Capital Territory,6127
Gombe State,303
Imo State,810
Jigawa State,204
Kaduna State,2502
Kano State,4980
Katsina State,512
Kebbi State,177
Kogi State,1215
Kwara State,783
Lagos State,15607
Nasarawa State,462
Niger State,791
Ogun State,672
Ondo State,655
Osun State,749
Oyo State,4057
Plateau State,1175
Rivers State,3499
Sokoto State,2544
Taraba State,565
Unknown,≤100
Yobe State,451
Zamfara State,305
