Location name,Amount spent (NGN)
Abia State,4504
Adamawa State,958
Akwa Ibom State,1312
Anambra State,2333
Bauchi State,819
Bayelsa State,833
Benué State,1105
Borno State,1807
Cross River State,1031
Delta State,9311
Ebonyi State,280
Edo State,1406
Ekiti State,674
Enugu State,1098
Federal Capital Territory,7327
Gombe State,448
Imo State,6564
Jigawa State,205
Kaduna State,3840
Kano State,5671
Katsina State,619
Kebbi State,235
Kogi State,1187
Kwara State,1461
Lagos State,22571
Nasarawa State,688
Niger State,2016
Ogun State,1017
Ondo State,1339
Osun State,1299
Oyo State,7711
Plateau State,2170
Rivers State,4149
Sokoto State,971
Taraba State,950
Unknown,≤100
Yobe State,755
Zamfara State,304
