Location name,Amount spent (NGN)
Abia State,17183
Adamawa State,20190
Akwa Ibom State,11281
Anambra State,13486
Bauchi State,15899
Bayelsa State,2623
Benué State,27987
Borno State,11673
Cross River State,5738
Delta State,125685
Ebonyi State,3504
Edo State,10162
Ekiti State,4462
Enugu State,16107
Federal Capital Territory,50151
Gombe State,7783
Imo State,11923
Jigawa State,4403
Kaduna State,42842
Kano State,211517
Katsina State,13305
Kebbi State,3307
Kogi State,8636
Kwara State,13134
Lagos State,133991
Nasarawa State,11020
Niger State,14893
Ogun State,17982
Ondo State,6425
Osun State,9345
Oyo State,38138
Plateau State,23766
Rivers State,26265
Sokoto State,15539
Taraba State,11000
Unknown,130
Yobe State,5835
Zamfara State,6351
