Location name,Amount spent (NGN)
Abia State,3061
Adamawa State,3061
Akwa Ibom State,5464
Anambra State,4725
Bauchi State,2290
Bayelsa State,681
Benué State,3518
Borno State,2425
Cross River State,1505
Delta State,8433
Ebonyi State,1042
Edo State,5116
Ekiti State,882
Enugu State,7249
Federal Capital Territory,13892
Gombe State,10083
Imo State,2535
Jigawa State,862
Kaduna State,9424
Kano State,10402
Katsina State,2368
Kebbi State,850
Kogi State,2342
Kwara State,2573
Lagos State,183883
Nasarawa State,1509
Niger State,2317
Ogun State,3357
Ondo State,1848
Osun State,1931
Oyo State,7224
Plateau State,3274
Rivers State,16717
Sokoto State,1726
Taraba State,1913
Unknown,≤100
Yobe State,1330
Zamfara State,772
