Location name,Amount spent (NGN)
Abia State,13682
Adamawa State,9400
Akwa Ibom State,13058
Anambra State,14303
Bauchi State,6914
Bayelsa State,4121
Benué State,4893
Borno State,9365
Cross River State,3700
Delta State,12766
Ebonyi State,3196
Edo State,10685
Ekiti State,3154
Enugu State,10343
Federal Capital Territory,25419
Gombe State,5898
Imo State,8072
Jigawa State,3022
Kaduna State,22979
Kano State,48584
Katsina State,5677
Kebbi State,2725
Kogi State,4805
Kwara State,25719
Lagos State,57703
Nasarawa State,6161
Niger State,6486
Ogun State,5210
Ondo State,4900
Osun State,16170
Oyo State,25215
Plateau State,11069
Rivers State,37017
Sokoto State,8331
Taraba State,4329
Unknown,≤100
Yobe State,2306
Zamfara State,1977
