Location name,Amount spent (THB)
Amnat Charoen,≤100
Ang Thong,≤100
Ayutthaya,575
Bangkok,9064
Bueng Kan,≤100
Buriram,312
Chachoengsao,197
Chai Nat,≤100
Chaiyaphum,193
Chanthaburi,149
Chiang Mai,514
Chiang Rai,311
Chon Buri,555
Chumphon,293
Kalasin,173
Kamphaeng Phet,136
Kanchanaburi,327
Khon Kaen,505
Krabi,310
Lampang,211
Lamphun,115
Loei,124
Lop Buri,168
Mae Hong Son,≤100
Maha Sarakham,220
Mukdahan,≤100
Nakhon Nayok,≤100
Nakhon Pathom,248
Nakhon Phanom,125
Nakhon Ratchasima,642
Nakhon Sawan,264
Nakhon Si Thammarat,1896
Nan,≤100
Narathiwat,165
Nong Bua Lam Phu,≤100
Nong Khai,115
Nonthaburi,579
Pathum Thani,421
Pattani,195
Phangnga,191
Phatthalung,291
Phayao,126
Phetchabun,208
Phetchaburi,168
Phichit,200
Phitsanulok,1240
Phrae,106
Phuket,923
Prachin Buri,145
Prachuap Khiri Khan,433
Ranong,108
Ratchaburi,245
Rayong,241
Roi Et,247
Sa Kaeo,112
Sakon Nakhon,207
Samut Prakan,429
Samut Sakhon,236
Samut Songkhram,≤100
Saraburi,178
Satun,114
Sing Buri,≤100
Sisaket,257
Songkhla,872
Sukhothai,149
Suphan Buri,365
Surat Thani,6449
Surin,242
Tak,135
Trang,504
Trat,≤100
Ubon Ratchathani,488
Udon Thani,313
Uthai Thani,≤100
Uttaradit,119
Yala Province,177
Yasothon,124
