Page ID,Page name,Disclaimer,Amount spent (ILS),Number of ads in Library
103851839280828,חופשי בארצנו - מטה המאבק,מטה המאבק - נלחמים על הדמוקרטיה,113923,28
279345532129864,ההסתדרות הציונית העולמית,ההסתדרות הציונית העולמית,5134,22
103907495935157,צו חירום,צו חירום,4656,33
104743111658191,Ron Ben Shushan,רון בן שושן,3409,3
112210295510027,World Zionist Organization - ההסתדרות הציונית העולמית,ההסתדרות הציונית העולמית,2808,8
271404389601060,Yaakov Hagoel - יעקב חגואל,Yaakov Hagoel - יעקב חגואל,2410,11
116563891775107,עיריית פתח תקווה,עיריית פתח תקוה,2219,61
256546887847232,עיריית רמת גן,עיריית רמת גן,2203,4
190032861033009,השומר החדש,השומר החדש,2183,4
325048350950892,רמי גרינברג,עיריית פתח תקוה,1958,41
203379449685023,לוחמים לשלום,לוחמים לשלום,1609,4
114777898543659,Docaviv דוקאביב,Docaviv,1518,2
141721971504,Histadrut - ההסתדרות החדשה,Histadrut - ההסתדרות החדשה,1445,7
655073717925481,קרן ברל כצנלסון,קרן ברל כצנלסון,1388,30
119995701391029,בית בן-גוריון בתל אביב,בית בן גוריון,1202,4
106136394376777,Idan Yakov,Rama Yarimi,1158,20
428948830813584,"מגדילים - האתר הישראלי להתחדשות עירונית ונדל""ן","מגדילים - האתר הישראלי להתחדשות עירונית ונדל""ן",1067,38
107836625941364,Yair Lapid - יאיר לפיד,מפלגת יש עתיד,967,5
213801788683219,עיריית ראש העין,עיריית ראש העין,941,9
1432282697015880,הסתדרות הפועל המזרחי,הסתדרות הפועל המזרחי,852,6
132107110817900,"מרכז הנדל""ן","מרכז הנדל""ן",789,4
263132347056967,BINA: The Jewish Movement for Social Change,Yishay Sayag,781,3
109970322392972,מפלגת הליכוד,מפלגת הליכוד,734,2
305986442906304,סלע מאיר הוצאה לאור,סלע מאיר דיגיטל,715,7
124395890927240,הקרן החדשה לישראל,הקרן החדשה לישראל,686,43
128641160502301,גלובס - Globes,גלובס - Globes,646,1
199381213757428,שי קינן - shai keinan,שי קינן - shai keinan,646,3
114429471587565,"יפעת עובדיה לוסקי - יו""ר קק""ל",קרן קימת לישראל,639,1
268108602075,Benjamin Netanyahu - בנימין נתניהו,מפלגת הליכוד,624,1
1099335593559205,כנס החירות FreedomCon,THE OBJECTIVIST FREEDOM CENTER LTD. (CC),604,19
204780362875106,מקור ראשון,מקור ראשון,603,96
106057988971053,אלי כהן - Eli Cohen,אלי כהן - Eli Cohen,574,4
604890186681585,מור ויצמן,Mor Weitzman,573,4
178433145502975,Avigdor Liberman - אביגדור ליברמן,ישראל ביתנו,571,8
189208555041327,המיזם למיגור העישון,המיזם למיגור העישון בישראל,544,3
2397304340492953,מטה הבטיחות בענף הבנייה,הקרן לעידוד ולפיתוח ענף הבנייה,526,1
358391697641207,מחוז דרום - לשכת עורכי הדין,מחוז דרום - לשכת עורכי הדין,523,9
536794249813012,תומר גלאם - Tomer Glam,עיריית אשקלון,520,2
401687276639883,רז קינסטליך - ראש עיריית ראשון לציון,רז קינסטליך - ראש עיריית ראשון לציון,520,1
110917020553426,Ari Shavit - ארי שביט,Ari Shavit - ארי שביט,478,6
1297864346957853,האחים שלנו,האחים שלנו,476,6
513695272011123,The Genesis Prize,Genesis Prize Foundation,472,1
137449656335533,Amnesty International Israel,Amnesty International Israel,446,24
57400032655,קבלה לעם,"בני ברוך קבלה לעם ע""ר",438,9
153664638161877,מתן דיל- Matan Dil,מתן דיל,437,4
219256864871723,Lea Fadida לאה פדידה,Lea Fadida לאה פדידה,425,6
108037760571199,הקונגרס הישראלי,הקונגרס הישראלי,413,17
102548956115520,תקומה 23 - להיות עם יהודי בארצנו,תורת לחימה,410,10
103851895179872,אמהות לביאות,Nataly Milner,404,3
814204852123809,"תורת לחימה - למען צה""ל",תורת לחימה,391,3
143563882388180,עיריית אשקלון,עיריית אשקלון,384,4
311390516402185,מפלגת כחול לבן,מפלגת כחול לבן,367,5
100230935579742,מתחת לרדאר,מתחת לרדאר,363,3
936130799779065,עו״ד אלברט טייב בשביל הכפר,עו״ד אלברט טייב בשביל הכפר,363,3
662721113760589,TheMarker Labels,TheMarker Labels,329,5
115028251920872,זהבה גלאון Zehava Galon,צו חירום,325,12
444832565529651,המכון הישראלי לדמוקרטיה,המכון הישראלי לדמוקרטיה,324,41
100150135880863,תכלית - המכון למדיניות ישראלית,Tachlith,322,3
488525557859306,המרכז למדיניות הגירה ישראלית - Israeli Immigration Policy Center,המרכז למדיניות הגירה ישראלית - Israeli Immigration Policy Center,316,5
371986449521679,הקרן למורשת הכותל המערבי,Tal Sanderoni,313,22
111919847028684,שומרים - המרכז לתקשורת ודמוקרטיה,שומרים - המרכז לתקשורת ודמוקרטיה,308,3
377161539406940,רפי סער,רפי סער,299,2
280542409315,יד יצחק בן-צבי,יד יצחק בן-צבי,293,5
1508923232754893,מועצה אזורית שומרון,מועצה אזורית שומרון,289,1
849824028408565,תנועת אם תרצו,תנועת אם תרצו,289,10
337591096309750,Embassy of Ukraine in the State of Israel,Embassy of Ukraine in the State of Israel,279,2
113410581644966,אורית גוטמן,אורית גוטמן,268,16
102668075081968,"Фонд премии ""Генезис""","Фонд премии ""Генезис""",267,5
114355804884727,רונן דגמי לראשות המועצה האזורית יואב,digibird,267,3
977353718949028,מיקי זוהר-  Micki Zohar,ח״כ מיקי זוהר  Micki Zohar,264,1
100160129076368,רפי סער - ראש העיר כפר סבא,רפי סער - ראש העיר כפר סבא,258,4
243941715737870,אורית סטרוק- orit strouk,אורית סטרוק,252,3
