Location name,Amount spent (THB)
Amnat Charoen,≤100
Ang Thong,≤100
Ayutthaya,168
Bangkok,3311
Bueng Kan,≤100
Buriram,251
Chachoengsao,146
Chai Nat,≤100
Chaiyaphum,172
Chanthaburi,≤100
Chiang Mai,800
Chiang Rai,222
Chon Buri,493
Chumphon,180
Kalasin,126
Kamphaeng Phet,421
Kanchanaburi,162
Khon Kaen,282
Krabi,131
Lampang,113
Lamphun,≤100
Loei,≤100
Lop Buri,118
Mae Hong Son,≤100
Maha Sarakham,162
Mukdahan,≤100
Nakhon Nayok,≤100
Nakhon Pathom,188
Nakhon Phanom,127
Nakhon Ratchasima,412
Nakhon Sawan,221
Nakhon Si Thammarat,439
Nan,≤100
Narathiwat,200
Nong Bua Lam Phu,≤100
Nong Khai,≤100
Nonthaburi,297
Pathum Thani,237
Pattani,185
Phangnga,≤100
Phatthalung,256
Phayao,≤100
Phetchabun,125
Phetchaburi,147
Phichit,161
Phitsanulok,643
Phrae,≤100
Phuket,208
Prachin Buri,229
Prachuap Khiri Khan,159
Ranong,≤100
Ratchaburi,291
Rayong,179
Roi Et,200
Sa Kaeo,163
Sakon Nakhon,250
Samut Prakan,150
Samut Sakhon,141
Samut Songkhram,≤100
Saraburi,≤100
Satun,≤100
Sing Buri,≤100
Sisaket,190
Songkhla,1575
Sukhothai,146
Suphan Buri,146
Surat Thani,416
Surin,257
Tak,126
Trang,190
Trat,≤100
Ubon Ratchathani,356
Udon Thani,232
Unknown,≤100
Uthai Thani,≤100
Uttaradit,≤100
Yala Province,134
Yasothon,≤100
