Location name,Amount spent (THB)
Amnat Charoen,≤100
Ang Thong,124
Ayutthaya,653
Bangkok,15724
Bueng Kan,≤100
Buriram,355
Chachoengsao,366
Chai Nat,≤100
Chaiyaphum,200
Chanthaburi,171
Chiang Mai,711
Chiang Rai,382
Chon Buri,960
Chumphon,623
Kalasin,202
Kamphaeng Phet,180
Kanchanaburi,432
Khon Kaen,462
Krabi,526
Lampang,199
Lamphun,103
Loei,145
Lop Buri,213
Mae Hong Son,≤100
Maha Sarakham,216
Mukdahan,≤100
Nakhon Nayok,≤100
Nakhon Pathom,556
Nakhon Phanom,140
Nakhon Ratchasima,750
Nakhon Sawan,334
Nakhon Si Thammarat,2987
Nan,≤100
Narathiwat,446
Nong Bua Lam Phu,103
Nong Khai,120
Nonthaburi,1001
Pathum Thani,834
Pattani,555
Phangnga,305
Phatthalung,692
Phayao,121
Phetchabun,190
Phetchaburi,674
Phichit,377
Phitsanulok,3305
Phrae,113
Phuket,1527
Prachin Buri,157
Prachuap Khiri Khan,895
Ranong,230
Ratchaburi,399
Rayong,337
Roi Et,253
Sa Kaeo,117
Sakon Nakhon,254
Samut Prakan,672
Samut Sakhon,539
Samut Songkhram,≤100
Saraburi,235
Satun,272
Sing Buri,≤100
Sisaket,315
Songkhla,1801
Sukhothai,150
Suphan Buri,337
Surat Thani,6214
Surin,918
Tak,147
Trang,655
Trat,≤100
Ubon Ratchathani,489
Udon Thani,323
Unknown,≤100
Uthai Thani,≤100
Uttaradit,109
Yala Province,403
Yasothon,162
