Location name,Amount spent (NGN)
Abia State,1800
Adamawa State,1232
Akwa Ibom State,2513
Anambra State,1368
Bauchi State,892
Bayelsa State,1117
Benué State,1531
Borno State,1562
Cross River State,1193
Delta State,25555
Ebonyi State,380
Edo State,1613
Ekiti State,831
Enugu State,1213
Federal Capital Territory,13080
Gombe State,1188
Imo State,1424
Jigawa State,200
Kaduna State,4367
Kano State,5640
Katsina State,942
Kebbi State,302
Kogi State,988
Kwara State,2227
Lagos State,30726
Nasarawa State,792
Niger State,1554
Ogun State,1586
Ondo State,1799
Osun State,1745
Oyo State,8443
Plateau State,2616
Rivers State,4813
Sokoto State,1782
Taraba State,661
Unknown,≤100
Yobe State,637
Zamfara State,589
