Page ID,Page name,Disclaimer,Amount spent (SEK),Number of ads in Library
608975645850217,Vattenfall,Vattenfall Sverige,33682,35
126567104406,Hyresgästföreningen,Hyresgästföreningen,26844,53
122854408319,Hjärt-Lungfonden,Hjärt-Lungfonden,20894,35
151159271594797,Systembolaget,Systembolaget,18018,4
111630258867610,Röda Korset,Röda Korset,9688,21
371791194529,Världsnaturfonden WWF,Världsnaturfonden WWF,7684,31
68115370786,Läkare Utan Gränser (MSF),Läkare Utan Gränser/ Médecins sans Frontières (MSF Sweden),6611,37
194584990588253,Vattenfall,Vattenfall,6278,1
161213770567846,Operation Smile Sverige,Operation Smile Sverige,6201,4
114262485262083,Konsumentverket,Konsumentverket,5434,3
382243262003,Plan International Sverige,Plan International Sverige,4527,7
576845979156129,Techarenan,Techarenan,4288,24
72659261793,Rädda Barnen,Rädda Barnen,4287,78
185459445735,Umeå universitet,Umeå universitet,3981,9
95735961890,Greenpeace Sverige,Greenpeace Sverige,3825,75
59324455950,UNICEF Sverige,UNICEF Sverige,3671,23
130927360876045,Tidningen Näringslivet,Tidningen Näringslivet,3591,33
162985227114132,Skellefteå Kraft,Skellefteå Kraft,3582,6
90882504375,Svenskt Näringsliv,Svenskt Näringsliv,3111,34
643137272398136,Sverige för UNHCR,Sverige för UNHCR,3095,18
101341883359561,Matsmart Sverige,Matsmart,2997,3
42676805259,Diakonia,Diakonia,2939,36
186513678039755,Fortum,Fortum Sverige,2815,17
188616781161573,World Animal Protection Sverige,World Animal Protection Sverige,2148,36
506685746198996,DebattNytt,Bror Carl Jakobsson,1803,3
153270724787,Amnesty International Sverige,Amnesty International Sverige,1542,23
314872662206,Ekonomifakta,Ekonomifakta,1522,80
200480966638039,Supremacy 1914,These ads ran without a disclaimer,1477,4
293678655099,Europaparlamentets kontor i Sverige,Europaparlamentets kontor i Sverige,1468,5
153028052500,Kvinna till Kvinna,Stiftelsen Kvinna till Kvinna,1381,3
150057951690751,OKQ8,These ads ran without a disclaimer,1311,5
236221570038,BRIS: Barnens Rätt I Samhället,BRIS: Barnens Rätt I Samhället,1239,8
614939535271869,Tobias Baudin,Socialdemokraterna,1043,4
309283471958,Hyresgästföreningen Region Sydost,Hyresgästföreningen Region Sydost,988,24
104150768465045,Med Israel för fred - MIFF Sverige,Med Israel for fred-Sverige,977,1
239177706143268,Mobility Sweden,These ads ran without a disclaimer,952,1
276108117859,Svenska Afghanistankommittén,Svenska Afghanistankommittén,944,34
231705333633358,Göteborgs stift Svenska kyrkan,Göteborgs stift Svenska kyrkan,788,3
266170183550491,Nya Kompisbyrån,Nya Kompisbyrån,752,24
72832167834,Skattebetalarnas Förening,Skattebetalarnas Förening,745,23
195379633820701,Svenskt Kött,Svenskt Kött,689,4
379686162129542,Svea Bank,Svea Ekonomi,664,2
369582590803,Dagens ETC,ETC-tidningarna,657,12
103065692733960,Öis,Skövde kommun,625,8
166406746310,Resumé,Resumé,602,2
237146235237,Timbro,Tankesmedjan Timbro,597,37
1531320107133721,Syre,Dagens O2 AB,585,4
1005361066218702,Norrtåg,Norrtåg,569,1
103296115466644,Skattenytta,Kommissionen för Skattenytta,559,7
328754490337,Vårdförbundet,Vårdförbundet,547,30
100394276688509,Halmstads kommun,Halmstads kommun,522,5
387421644643053,Hyresgästföreningen BohusÄlvsborg-Skaraborg,Hyresgästföreningen BohusÄlvsborg-Skaraborg,510,18
217391588404948,Katalys,Katalys,499,7
412192732132640,ECPAT Sverige,ECPAT Sverige,491,10
193309030695120,UR,UR,490,3
181590825305317,COWI Sverige,COWI Sverige,488,9
188821514474911,Preem,Preem AB,485,2
126245644082634,Malmömoderaterna,Malmömoderaterna,484,4
1089666701084947,Timbro förlag,Timbro Förlag,470,4
261455205686,LRF,LRF,469,3
1402657726653154,Hallå konsument,Konsumentverket,467,3
212604496324,Fackförbundet ST,Fackförbundet ST,464,34
257888154669865,Conscia Sverige,Conscia Sverige AB,462,3
163305633746125,Karneval förlag,Holviks,435,2
312084019369,Dagens Medicin,Dagens Medicin,432,1
111699453757094,Soft Towel Games,These ads ran without a disclaimer,416,3
1669486323321422,Lund University Sustainability Forum,Lunds universitet,410,7
356032977210,Vi-skogen,Vi-skogen,404,11
212284955495610,Elektrikerna,Elektrikerna,403,4
175656912484553,Unionen,Unionen,402,24
267640803634611,Moderaterna i Västerbotten,Moderaterna i Västerbotten,385,1
965458110149319,Byggindustrin,Byggindustrin,385,1
239855722130,Nyhetsmagasinet Fokus,Fokus,381,9
276115645732500,Socialdemokraterna i Gävle,Socialdemokraterna i Gävle,362,2
1774980969487507,Naturvetenskap vid Göteborgs universitet,Göteborgs universitet,359,1
147547541961576,Council of the European Union,Council of the European Union,346,4
129016447116122,Aktuell Hållbarhet,Aktuell Hållbarhet,343,1
539297539496434,Dagens Samhälle,Dagens Samhälle,342,1
111842515680597,Hyresgästföreningen Norrland,Hyresgästföreningen,340,12
498767116802809,Vänsterpartiet Region Stockholm,Vänsterpartiet Region Stockholm,338,5
154887827868890,Sörmlands Sparbank,Sörmlands Sparbank,330,3
1633181116933852,SvD Junior,SvD Junior (SvD),325,20
107898832590939,European Commission,European Commission,321,3
273053169937029,ClimateHero,ClimateHero,299,6
152085291138,Aktuellt i Politiken,Aktuellt i Politiken,296,3
105345278410827,Frälsningsarméns sociala arbete,Frälsningsarmén,293,2
175873745789190,Vänsterpartiet Göteborg,Vänsterpartiet Göteborg,289,7
390479295816,Socialdemokraterna i Jönköpings län,Socialdemokraterna i Jönköpings län,275,2
735108653195373,Vänsterpartiet Haninge,Olofsson Lars-Johan Patrik,271,2
216625221784563,Alkompis  الكومبس,Alkompis  الكومبس,261,1
118162038224731,Moderaterna i Stockholms stad och län,Moderaterna i Stockholms stad och län,253,1
294444197371898,Byggnads Skåne,Byggnads Skåne,246,1
171919835807,TCO,TCO,245,3
133148933394485,Socialdemokraterna i Malmö,Socialdemokraterna i Malmö,245,8
397655376946941,Liberalerna Lidingö,Liberalerna Lidingö,243,2
547965058654664,MyRight - Empowers people with disabilities,MyRight - Empowers people with disabilities,227,2
250766161722636,Europa Direkt Halland,Europa Direkt Halland,224,3
271560012882635,Svenskt Näringsliv Västra Götaland,Svenskt Näringsliv Västra Götaland,220,8
110406624703905,Katrin Stjernfeldt Jammeh,Socialdemokraterna i Malmö,213,1
421347121246692,Konstnärernas Riksorganisation,Konstnärernas Riksorganisation,210,2
61602439009,NCC,NCC,210,3
109344797318593,Vi Som Bygger Landet,Vi som bygger landet,204,2
314283591054,Byggnads,Byggnads,202,2
109609604086656,Vejpkollen.se,Vejpkollen.se,201,2
296423575695,Afrikagrupperna,Afrikagrupperna,200,4
19746853632,Djurens Rätt,Djurens Rätt,200,1
190994184253208,Vänsterpartiet Lund,Sahlen Carl Jesper,199,1
120216874723147,Svenskt Sigill,Svenskt Sigill,198,18
143140665862271,Moderaterna Umeå,Moderata kretsen Umeå,192,2
167494870115948,Moderaterna i Lidköping,Moderaterna Lidköping,190,2
178362315106,European Parliament,European Parliament,188,6
167036616661188,Sverigedemokraterna Malmö,Sverigedemokraterna Malmö,185,2
450853258274653,Vänsterpartiet Halmstad,Vänsterpartiet Halmstad,172,3
513322965515580,Socialdemokraterna Kumla,Veronica Ulfgren,167,3
154609777777,Malmö stad,Malmö stad,167,1
171732326218384,Handelsanställdas förbund,Handelsanställdas förbund,164,2
100253435575183,EPHI - Environment and Public Health Institute,Environment and Public Health Institute,164,2
182913105077781,Hyresgästföreningen södra Skåne,Eriksson Anna Carolina,159,2
8040892957,Socialdemokraterna,Socialdemokraterna,159,4
125113298313,Centerpartiet i Malmö,Centerpartiet i Malmö,154,5
712230305617939,Uniper i Sverige,Uniper i Sverige,154,1
203547006337155,Göteborgs Stadsmission,Göteborgs Stadsmission,152,1
105051279529106,Kulturhuset Stadsteatern,Kulturhuset Stadsteatern,148,6
105415855491585,Jaktkritikerna,These ads ran without a disclaimer,141,1
374742579289874,Jämställd Utveckling Skåne,Jämställd Utveckling Skåne,140,1
169905029701515,Trollhättans Stad,Trollhättans Stad,139,1
308075749348969,Svenskt Näringsliv Kronoberg,Svenskt Näringsliv,139,2
198547346848470,Vänsterpartiet Linköping,Holmberg Erik Dennis Tobias,134,1
786156274854416,Svenskt Näringsliv Jämtland,Svenskt Näringsliv,134,1
560378397406597,Socialdemokraterna i Skurup,Sylve Qvillberg,132,1
184879078767802,School of Global Studies,University of Gothenburg,131,1
120745044633792,Lunds universitet,Lunds universitet,129,2
342952129133948,Kultur i Malmö,Kultur i Malmö,125,1
