Page ID,Page name,Disclaimer,Amount spent (AED),Number of ads in Library
107692325428460,Alexan dra,These ads ran without a disclaimer,294,2
234477301116,Dubai Community Development Authority,Dubai Community Development Authority,198,2
1145652492123238,Ellington Properties,These ads ran without a disclaimer,193,1
113414308041611,Great Arab Minds,Great Arab Minds,≤100,2
113063981735385,leaks_____company,These ads ran without a disclaimer,≤100,1
602922069849329,Mohammed Salem,These ads ran without a disclaimer,≤100,1
131899460215123,UAE Ministry of Human Resources and Emiratisation,These ads ran without a disclaimer,≤100,1
1635817140023896,عقارات تركيا - Property Turkey,These ads ran without a disclaimer,≤100,1
266604026826295,أشرنان للإبداع و الديكور,These ads ran without a disclaimer,≤100,1
116232578055472,SBH Education,These ads ran without a disclaimer,≤100,1
142044769167622,Naseer Shahir Homoud,These ads ran without a disclaimer,≤100,1
109317342186529,RAS Bio FoodPack,These ads ran without a disclaimer,≤100,1
273089522819834,24Media,These ads ran without a disclaimer,≤100,1
317133351574,Namal Knowledge City,These ads ran without a disclaimer,≤100,1
31292782350,Deutschland.de,These ads ran without a disclaimer,≤100,1
227337655573,Radio Pulpit / Radiokansel,These ads ran without a disclaimer,≤100,1
1505333196415332,Côte d'Azur - школа французької мови,These ads ran without a disclaimer,≤100,1
111679394767549,المشروع القومي لمشتقات البلازما,These ads ran without a disclaimer,≤100,1
100857675472522,ScreeN+,These ads ran without a disclaimer,≤100,1
112757083778788,"Economic Daily, China",These ads ran without a disclaimer,≤100,1
656462304404326,Служба розшуку дітей,These ads ran without a disclaimer,≤100,3
208371683037269,NBCU Catalyst,These ads ran without a disclaimer,≤100,1
113070048372301,iamhadiiw,These ads ran without a disclaimer,≤100,1
102623776002357,Funnies Now - Magazine Page 2,These ads ran without a disclaimer,≤100,1
102138141748341,封神异世录,These ads ran without a disclaimer,≤100,1
110020365338801,The Silk Road-Shaanxi,These ads ran without a disclaimer,≤100,1
101008186157233,سالم جدي,These ads ran without a disclaimer,≤100,1
1758090777618570,Hamad Al-Failakawi,These ads ran without a disclaimer,≤100,4
102635655320437,Number Match - Logic Puzzle Game,These ads ran without a disclaimer,≤100,1
