Location name,Amount spent (NGN)
Abia State,860
Adamawa State,822
Akwa Ibom State,2154
Anambra State,747
Bauchi State,713
Bayelsa State,3814
Benué State,478
Borno State,1204
Cross River State,798
Delta State,1631
Ebonyi State,236
Edo State,690
Ekiti State,465
Enugu State,778
Federal Capital Territory,7598
Gombe State,1739
Imo State,503
Jigawa State,259
Kaduna State,3085
Kano State,4199
Katsina State,810
Kebbi State,877
Kogi State,526
Kwara State,913
Lagos State,10117
Nasarawa State,680
Niger State,2159
Ogun State,513
Ondo State,1293
Osun State,605
Oyo State,2564
Plateau State,1217
Rivers State,2452
Sokoto State,1327
Taraba State,272
Unknown,≤100
Yobe State,509
Zamfara State,614
