Page ID,Page name,Disclaimer,Amount spent (PLN),Number of ads in Library
149388985089327,L'Oréal Paris,L’Oreal Polska Sp z o.o.,6954,20
1683534065241470,OKO.press,OKO.press,3301,45
100947022065093,Okresowa Koalicja,Okresowa Koalicja,3026,9
102811109411234,Do:łącz,Dołącz,2236,10
228168274881,wysokieobcasy,wysokieobcasy,1698,17
653937168081792,PZU,Powszechny Zakład Ubezpieczeń Spółka Akcyjna (PZU SA),1633,1
1181684038602267,Niepodległa,"BIURO PROGRAMU ""NIEPODLEGŁA""",1518,11
63563473556,Gazeta Wyborcza,Gazeta Wyborcza,1030,14
57544755889,Amnesty International Polska,Amnesty International Polska,870,38
339855706171439,Dobra Fabryka,Dobra Fabryka,748,15
520444618035778,Grupa EPL w Parlamencie Europejskim,EPP Group in the European Parliament,659,5
107971230622325,Ministerstwo Finansów,These ads ran without a disclaimer,578,1
142614625077,WWF Polska,WWF Polska,564,8
513969188677442,Compassion Polska,Compassion Polska,561,10
469702339755768,Paweł Tanajno Polska Liberalna Strajk Przedsiębiorców,Iam4u.pl,530,97
114453729684,gazetaprawna.pl,gazetaprawna.pl,502,1
578864425792499,Ośrodek Monitorowania Antypolonizmu,Fundacja Ośrodek Monitorowania Antypolonizmu,467,4
353030510177,Centrum Nauki Kopernik,Centrum Nauki Kopernik,466,44
144808095552639,ING Polska,ING Polska,431,9
372341662829366,Onet Styl Życia,These ads ran without a disclaimer,424,1
178415208919146,Solidarna Polska,Solidarna Polska,416,3
182038191908977,Cyfryzacja KPRM,Kancelaria Prezesa Rady Ministrów,415,10
108301418501661,Odszkodowania Za Represje 1944-1989,Łukasz Świątek,401,8
1227194230675141,Pratia,Pratia SA,399,4
959387840744974,Bezpartyjni Samorządowcy,Ogólnopolska Federacja Bezpartyjni i Samorządowcy,385,25
164968446888637,Ministerstwo Sprawiedliwości,Ministerstwo Sprawiedliwości,355,1
436111276479085,Sieć Obywatelska - Watchdog Polska,Sieć Obywatelska - Watchdog Polska,349,14
142361819657439,Narodowy Fundusz Ochrony Środowiska i Gospodarki Wodnej,Narodowy Fundusz Ochrony Środowiska i Gospodarki Wodnej,339,1
376660699164364,Rafał Komarewicz - Przewodniczący Rady Miasta Krakowa,Rafał Paweł Komarewicz,312,14
1646168595688590,Kujawsko-Pomorski Urząd Wojewódzki w Bydgoszczy,Kujawsko-Pomorski Urząd Wojewódzki w Bydgoszczy,308,6
111778487054045,TOGETAIR,Kamil Magot,268,10
159205967423152,Stowarzyszenie Sursum Corda /w górę serca/,H4People,262,5
749393698434460,Jarosław Krajewski,Jarosław Krajewski,246,3
331112537305950,Bydgoskie Konsultacje,Bydgoskie Konsultacje,227,2
475584852475176,Pozytron,Bartłomiej Jan Ginter,222,10
314299585704,PAT&RUB,Ecoidea Sp z oo Sp.k.,222,1
178362315106,European Parliament,European Parliament,216,2
230415296997772,bydgoszcz.pl,bydgoszcz.pl,216,1
376101312892,Miasto Poznań,Miasto Poznań,215,1
10150116077700370,Fundacja Rodzić po Ludzku,Fundacja Rodzić po Ludzku,202,11
311766890555,Fundacja Batorego,Fundacja Batorego,201,62
359606364774932,"Beata Maciejewska - Posłanka Lewicy, Gdańsk",Biuro Poselskie Beaty Maciejewskiej,194,3
136390556431938,Pracownia na rzecz Wszystkich Istot,Pracownia na rzecz Wszystkich Istot,180,4
200480966638039,Supremacy 1914,These ads ran without a disclaimer,176,2
107344527675114,Toyota - fabryka w Wałbrzychu,Szymon Jan Marczak,172,3
113267398356583,Komitet Inicjatywy Ustawodawczej „STOP zakazowi pracy”,Polskie Stowarzyszenie Obrońców Życia Człowieka,166,2
157458232131,Prawo i Sprawiedliwość,Prawo i Sprawiedliwość,159,8
111275624780972,Erase Indifference,Erase Indifference,155,2
137877409609952,Lewica,Nowa Lewica,154,2
102759805294356,Dariusz Matecki - Radny Miasta Szczecin,Dariusz Matecki Radny Miasta Szczecin,154,4
1863743663893316,Fundusz Obywatelski im. Henryka Wujca,Fundacja dla Polski,152,4
1589662404673220,DB Schenker w Polsce,These ads ran without a disclaimer,152,1
267353906619818,Mr. Gugu & Miss Go,These ads ran without a disclaimer,151,3
999568213449974,"Solpower - Fotowoltaika, magazyny energii, wiaty fotowoltaiczne",Łukasz Zbigniew Czerwiński,151,23
447190942074880,Polskie Stowarzyszenie Obrońców Życia Człowieka,Polskie Stowarzyszenie Obrońców Życia Człowieka,144,2
140982409255721,Miłość nie wyklucza,Miłość nie wyklucza,142,2
292514454554454,Cartrack Polska,Cartrack Polska,138,4
154790604804,Fundacja Czarna Owca Pana Kota,Czarna Owca Pana Kota,138,2
457690554629140,Narodowy Instytut Architektury i Urbanistyki,Narodowy Instytut Architektury i Urbanistyki,136,2
378777385998461,Grupa MTP,Grupa MTP,134,11
1495480087399256,Jacek Ozdoba,Jacek Ozdoba,127,3
1425264934431305,Polski Instytut Księgowości,Polski Instytut Księgowości,125,16
434225653303734,Fundusze Europejskie dla Mazowsza,Maria Wyszyńska,124,6
137358556439286,Ośrodek Monitorowania Zachowań Rasistowskich i Ksenofobicznych,Ośrodek Monitorowania Zachowań Rasistowskich i Ksenofobicznych,121,9
176114889652,Kancelaria Premiera,Kancelaria Premiera,121,4
1224502281011628,Patryk Marjan,Patryk Marjan,111,1
196007977201384,Małopolskie Centrum Kultury SOKÓŁ,Małopolskie Centrum Kultury SOKÓŁ,111,1
194585893914848,Fundacja Rozwoju Demokracji Lokalnej,Cezary Trutkowski,110,4
198196133533089,Polska Misja Medyczna / Polish Medical Mission,Polska Misja Medyczna / Polish Medical Mission,109,6
1496359750659795,Michał Wójcik,Michał Wójcik,106,1
1381575975475340,EduAkcja - szkolenia dla nauczycieli,EduAkcja sp. z o.o.,105,2
387124011444132,Wojciech Saługa Poseł na Sejm,Wojciech Saługa,105,1
2320275388297228,Marcin Romanowski,Marcin Romanowski,103,1
104061062331637,Pałac Saski,Pałac Saski Sp. z o.o.,102,2
114337719936632,Marszałek Artur Kosicki,Marszałek Artur Kosicki,≤100,1
377827871205,Palladium,Bartłomiej Maciej Błaszczyk,≤100,1
142218132483199,Kasa Stefczyka,Kasa Stefczyka,≤100,2
105039892358886,FURPO - Świadczenie Pielęgnacyjne,FURPO GROUP SP. Z O.O.,≤100,8
286243508135957,Solidarna Polska - Nowe Pokolenie,Solidarna Polska,≤100,1
181890091876904,Medair,These ads ran without a disclaimer,≤100,1
505864632777215,Tygodnik Lisickiego,Orle Pióro sp. z o.o.,≤100,5
300745193630,Fundacja Pro - Prawo do Życia,Fundacja Pro - Prawo do Życia,≤100,6
256314858405394,Paweł Olszewski,Paweł Olszewski,≤100,3
487587700423,Miasto Gdańsk,Miasto Gdańsk,≤100,3
160341610647590,Łukasz Gibała,Kraków dla Mieszkańców,≤100,3
187613920648,Mazowiecka Wspólnota Samorządowa,Mazowiecka Wspólnota Samorządowa,≤100,2
814991668621838,Norbert Kaczmarczyk,Norbert Kaczmarczyk,≤100,1
175966550952,Chrońmy Klimat,Fundacja Instytut na rzecz Ekorozwoju,≤100,24
108470777303042,Robert Popkowski,Robert Popkowski,≤100,2
143951191449,Profinfo.pl,Wolters Kluwer PL,≤100,25
1436380093288077,Park Dzieje,Stowarzyszenie Dzieje,≤100,3
258394024199313,Centrum Mieroszewskiego,Centrum Dialogu im. Juliusza Mieroszewskiego,≤100,2
101263522893711,Cichowlas Polskie Warzywa,Patryk Kondratowicz,≤100,2
735907983172057,Urząd Gminy Czernica,Gmina Czernica,≤100,1
283996612400,Fundacja Nasza Ziemia,Fundacja Nasza Ziemia,≤100,2
1786470348233541,Stowarzyszenie Metropolia Bydgoszcz,Stowarzyszenie Metropolia Bydgoszcz,≤100,1
173086948664,Infor.pl,Infor.pl,≤100,4
112123064602862,Szczeliny,Wydawnictwo Otwarte sp. z o.o.,≤100,4
76134197129,Radio TOK FM,Kinga Warwas,≤100,2
267686749910602,Piotr Müller,Piotr Józef Müller,≤100,6
221077284662,Przekrój,Fundacja Przekrój,≤100,1
288949918697908,Łódzkie.pl,Województwo Łódzkie,≤100,1
163064650412661,Teatr Powszechny w Łodzi,Teatr Powszechny w Łodzi,≤100,5
790410867684271,Ukraiński Dom / Український Дім,Ukraiński Dom w Warszawie,≤100,2
147284671976535,Jak wygrać wybory? Praktycznie o kampaniach wyborczych,Jacek Babiel,≤100,6
312816688890250,Dariusz Matecki,Dariusz Matecki Radny Miasta Szczecin,≤100,1
112502804794164,Країна Миру - Country of Peace,These ads ran without a disclaimer,≤100,1
1435687536687711,Bartosz Kownacki,Bartosz Kownacki,≤100,1
141706212510407,Dom Aniołów Stróżów,Stowarzyszenie Pomocy Dzieciom i Młodzieży „Dom Aniołów Stróżów”,≤100,1
107478768563531,Andrzej ŚLIWKA - Wiceminister Aktywów Państwowych,Andrzej Śliwka,≤100,4
167053496770977,Fundacja Redemptoris Missio,Fundacja Pomocy Humanitarnej Redemptoris Missio,≤100,1
735777820136762,Platforma Obywatelska Bydgoszcz,Platforma Obywatelska Bydgoszcz,≤100,1
110628809591185,Alan Wolny,Alan Wolny,≤100,3
1431517563752198,Bieg SGH,Samorząd SGH,≤100,10
176619537364977,Grodno S.A.,Grodno S.A.,≤100,3
104884392877324,Alivia,Alivia - Fundacja Onkologiczna,≤100,5
436513873457037,Adam Musiuk,Adam Musiuk,≤100,1
312204349288060,Mariusz Gosek,Mariusz Gosek,≤100,3
108567461681538,"Polska Katolicka, nie laicka",Fundacja Instytut Edukacji Społecznej i Religijnej im. Ks. Piotra Skargi,≤100,1
1582773718618007,Piotr Zduńczyk,Piotr Zduńczyk,≤100,1
1476105062719575,Dariusz Matecki - Solidarna Polska,Dariusz Matecki - Solidarna Polska,≤100,1
101876361512444,Krajowy Projekt Energetyczny - odnawialne źródła energii dla każdego,These ads ran without a disclaimer,≤100,1
102839676003235,Szamotulska Porodówka,Szpital Powiatowy w Szamotułach,≤100,1
113104733902707,Centrum Doradztwa Rewitalizacyjnego IRMiR,Instytut Rozwoju Miast i Regionów,≤100,2
583823491630995,Piotr Cieplucha,Piotr Paweł Cieplucha,≤100,1
514735281965536,Demagog,Stowarzyszenie Demagog,≤100,3
514245432058229,Piotr Kandyba - Radny Sejmiku Województwa Mazowieckiego,Piotr Kandyba - Radny Sejmiku Województwa Mazowieckiego,≤100,9
868599633152789,Koncept - magazyn akademicki,Fundacja Inicjatyw Młodzieżowych,≤100,3
832320483579139,Vestra,Vestra,≤100,1
377734895631299,Polsko-Ukraińska Izba Gospodarcza,Polsko-Ukraińska Izba Gospodarcza,≤100,1
515725191889934,Zmieniamy Łódzkie,Zmieniamy Łódzkie,≤100,3
109269485083516,Krzysztof Szczucki,Krzysztof Szczucki,≤100,3
130752780291804,Fundacja Geremka,These ads ran without a disclaimer,≤100,2
1563121843792594,Olsztyński Marsz Równości,Agata Szerszeniewicz,≤100,2
382875260304,Teologia Polityczna,Teologia Polityczna,≤100,1
108586015068938,Zorientowani na Rodzinę,Fundacja Ogólnopolski Strajk Kobiet,≤100,4
110731291587098,Kiełpiński Konkretnie,Jacek Kiełpiński,≤100,8
74863922834,Krytyka Polityczna,Krytyka Polityczna,≤100,9
134626909042,Stowarzyszenie Inwestorów Indywidualnych,These ads ran without a disclaimer,≤100,3
851597268265842,Telewizja Kopernik,TELEWIZJA KOPERNIK,≤100,4
429506290917644,Toyota - fabryka w Jelczu,Toyota - fabryka w Jelczu,≤100,1
1531160263787101,Fundacja HerStory,Fundacja HerStory,≤100,2
274865305866485,Eko House Technologie Ekologiczne - przydomowe oczyszczalnie ścieków,Eko House Technologie Ekologiczne,≤100,2
340765409708087,Ryszard Madziar,Ryszard Madziar,≤100,4
109231571984405,Accelera,These ads ran without a disclaimer,≤100,1
