Page ID,Page name,Disclaimer,Amount spent (AOA),Number of ads in Library
113228731799870,Mayor Investidor,These ads ran without a disclaimer,833,1
112314738439063,Hon Elisha Matambo,These ads ran without a disclaimer,600,1
250305668489402,Professor Kenny,These ads ran without a disclaimer,173,2
107941432333008,Cdhg-1234,These ads ran without a disclaimer,≤100,1
880611255347800,Phoenix TV 鳳凰衛視,These ads ran without a disclaimer,≤100,1
108625789179165,Soi Dog Foundation,These ads ran without a disclaimer,≤100,1
110481725071608,Salud y Bienestar en foco,These ads ran without a disclaimer,≤100,1
100429929518257,Baobab,These ads ran without a disclaimer,≤100,1
106170661628518,香港V,These ads ran without a disclaimer,≤100,1
117105021304811,Bigggie,These ads ran without a disclaimer,≤100,8
299227550122220,Radio Cina Internazionale,These ads ran without a disclaimer,≤100,1
349791962189803,The Bridesblush Social,These ads ran without a disclaimer,≤100,1
103897355412563,Dareyou.pt,These ads ran without a disclaimer,≤100,1
