Location name,Amount spent (NGN)
Abia State,4374
Adamawa State,1876
Akwa Ibom State,4131
Anambra State,1938
Bauchi State,1720
Bayelsa State,1491
Benué State,3398
Borno State,2044
Cross River State,1918
Delta State,4491
Ebonyi State,601
Edo State,2569
Ekiti State,2609
Enugu State,1874
Federal Capital Territory,14040
Gombe State,965
Imo State,1265
Jigawa State,419
Kaduna State,5378
Kano State,9169
Katsina State,1099
Kebbi State,409
Kogi State,1103
Kwara State,2765
Lagos State,31539
Nasarawa State,1038
Niger State,2400
Ogun State,1889
Ondo State,2546
Osun State,1816
Oyo State,11257
Plateau State,3013
Rivers State,7675
Sokoto State,2235
Taraba State,1455
Unknown,≤100
Yobe State,1255
Zamfara State,475
