Location name,Amount spent (NGN)
Abia State,3215
Adamawa State,1991
Akwa Ibom State,5655
Anambra State,9287
Bauchi State,1754
Bayelsa State,1521
Benué State,1378
Borno State,1702
Cross River State,1534
Delta State,11944
Ebonyi State,826
Edo State,4311
Ekiti State,425
Enugu State,7896
Federal Capital Territory,23194
Gombe State,11904
Imo State,1575
Jigawa State,729
Kaduna State,6375
Kano State,10085
Katsina State,1746
Kebbi State,1813
Kogi State,1450
Kwara State,1834
Lagos State,114209
Nasarawa State,1379
Niger State,1591
Ogun State,2268
Ondo State,885
Osun State,1199
Oyo State,4318
Plateau State,3605
Rivers State,26428
Sokoto State,1258
Taraba State,1829
Unknown,≤100
Yobe State,1006
Zamfara State,983
