Location name,Amount spent (NGN)
Abia State,7485
Adamawa State,2188
Akwa Ibom State,5814
Anambra State,8687
Bauchi State,2300
Bayelsa State,796
Benué State,2048
Borno State,2056
Cross River State,2015
Delta State,4712
Ebonyi State,730
Edo State,4611
Ekiti State,578
Enugu State,7534
Federal Capital Territory,25124
Gombe State,8767
Imo State,1710
Jigawa State,1143
Kaduna State,8360
Kano State,14821
Katsina State,2094
Kebbi State,714
Kogi State,3101
Kwara State,2490
Lagos State,54113
Nasarawa State,1892
Niger State,3554
Ogun State,1579
Ondo State,1454
Osun State,1548
Oyo State,9830
Plateau State,2489
Rivers State,12422
Sokoto State,2526
Taraba State,1247
Unknown,≤100
Yobe State,1093
Zamfara State,979
