Page ID,Page name,Disclaimer,Amount spent (CAD),Number of ads in Library
167800183238142,YourAlberta (Government of Alberta),Government of Alberta,3696,16
194782249201,Canadian Association of Petroleum Producers (CAPP),Canadian Association of Petroleum Producers,2187,75
163336718421,PSAC - AFPC,PSAC - AFPC,1809,37
2112106495731697,Wild First,Canadian Coastal Research Society,1711,22
139019864276,Oxfam Canada,Oxfam Canada,1579,46
6319213302,Heart & Stroke,Heart & Stroke,1557,28
154462904588700,Enbridge Gas,Enbridge Gas,1484,106
6095483909,Canadian Taxpayers Federation,Canadian Taxpayers Federation,1458,43
203652059653094,Government of British Columbia,Government of British Columbia,958,7
168617319831578,Nature Canada,Nature Canada,950,1
115835521825983,UNHCR Canada,UNHCR Canada,856,126
1097840090260804,National Police Federation,National Police Federation,849,89
197337921788,Dying With Dignity Canada,Dying With Dignity Canada,764,34
53321777320,Coeur + AVC,Coeur + AVC,675,20
109045051805492,Made The Canadian Way,Canadian Energy Centre,607,4
625254780822339,CUPE Manitoba,CUPE MB,524,10
186062823629,Québec sans tabac,Conseil québécois sur le tabac et la santé,501,12
633812813408377,Elections Canada,Elections Canada,496,12
404950259547092,Scarborough Health Network Foundation,SHN with Facebook ad credits,495,19
35715544220,Stand.earth,Stand.earth,489,5
261752512263,Canadian Red Cross,Canadian Red Cross,483,25
5661704203,Conservative Party of Canada - Parti conservateur du Canada,Conservative Party of Canada - Parti conservateur du Canada,482,37
117109432079,CAMH Foundation,CAMH Foundation,478,38
19750184960,Greenpeace Canada,Greenpeace Canada,466,182
104853517861788,Surrey’s Say on Policing,National Police Federation,458,14
106554951025368,TUAC 500,TUAC section locale 500,430,2
67197771286,Elections BC,Elections BC,411,1
274877362536876,CUPE BC,CUPE BC,395,14
336963316348550,Ucore Rare Metals Inc.,Ucore Rare Metals Inc.,342,2
322687774411726,CSD Construction,CSD Construction,339,7
386234648495459,Home Care Ontario,Home Care Ontario,336,15
110119109055867,UBC Sustainability,UBC Sustainability,319,7
107670711947328,Only One CA,"Only One, Inc.",305,14
107385241806,Plan International Canada,Plan International Canada,304,40
146592973368,Sunnybrook Health Sciences Centre,Sunnybrook Foundation,303,34
11392874217,Québec solidaire,Québec solidaire,299,10
111064284385333,Notjustajob.ca,NotJustAJob.ca,297,15
114849617772737,Care2 Canada,Press Pause Collective,295,7
177741812241442,SCFP-Québec,le SCFP,291,17
281999881613,World Vision Canada,World Vision Canada,288,7
33730130515,Metro Vancouver,Metro Vancouver,286,24
423019977746485,Ontario Council of Hospital Unions,Ontario Council of Hospital Unions-CUPE,279,2
21751825648,Justin Trudeau,Liberal Party of Canada | Parti libéral du Canada,275,166
1547351742002843,Recovery Capital Summit- Overcoming Addiction,Giuseppi Ganci,271,4
168973503131279,Mission Old Brewery,Mission Old Brewery,268,63
152467601467262,BMO Groupe financier,BMO Financial Group,264,12
7522587804,Green Party of Ontario,Green Party of Ontario,261,4
102794729214729,Avoid the Shock,Insurance Bureau of Canada,260,7
367461053332566,Community-Based Research Centre - CBRC,Community-Based Research Centre,258,18
104386908631938,Pathways Alliance,Pathways Alliance,256,6
177681485609462,Radio-Canada,Radio-Canada,255,2
54125409458,Oxfam-Québec,Oxfam-Québec,247,4
652812671407912,Selam Debs,Selam Debs,245,34
172145722975250,PressProgress,PressProgress,238,88
465152633548835,Generation Squeeze,Generation Squeeze,225,1
177004795666755,Manitoba Government,Manitoba Government,216,5
1534982756793690,Foodvisor,These ads ran without a disclaimer,208,4
176256900912,Saskatchewan Party,The Saskatchewan Party,205,2
150435931672156,Élections Québec,Élections Québec,203,19
263417217038472,Forest Products Association of Canada,Forest Products Association of Canada,193,9
568938803293644,True North,True North,186,5
222322717930469,Government of New Brunswick,Government of New Brunswick,185,1
257741694238490,Collège des médecins du Québec,Collège des médecins du Québec,182,4
190502667652613,Canada’s NDP / Le NPD du Canada,Canada’s NDP / Le NPD du Canada,181,11
25128859552,The Canadian Encyclopedia,Historica Canada,172,16
106360778489053,Fuelling Canada,Canadian Gas Association,171,88
