Location name,Amount spent (NGN)
Abia State,3593
Adamawa State,1401
Akwa Ibom State,3960
Anambra State,6710
Bauchi State,737
Bayelsa State,2310
Benué State,1676
Borno State,838
Cross River State,1082
Delta State,6404
Ebonyi State,1549
Edo State,1359
Ekiti State,369
Enugu State,2567
Federal Capital Territory,9137
Gombe State,6541
Imo State,1349
Jigawa State,187
Kaduna State,5017
Kano State,4106
Katsina State,740
Kebbi State,142
Kogi State,1409
Kwara State,1032
Lagos State,109703
Nasarawa State,600
Niger State,1304
Ogun State,1879
Ondo State,834
Osun State,458
Oyo State,2347
Plateau State,1390
Rivers State,8574
Sokoto State,646
Taraba State,445
Unknown,≤100
Yobe State,249
Zamfara State,179
