Location name,Amount spent (NGN)
Abia State,12846
Adamawa State,9533
Akwa Ibom State,7137
Anambra State,17024
Bauchi State,5991
Bayelsa State,2963
Benué State,6421
Borno State,6930
Cross River State,9166
Delta State,16773
Ebonyi State,2114
Edo State,16235
Ekiti State,3043
Enugu State,21573
Federal Capital Territory,36020
Gombe State,8391
Imo State,15242
Jigawa State,1875
Kaduna State,26373
Kano State,45123
Katsina State,5969
Kebbi State,2373
Kogi State,4802
Kwara State,9114
Lagos State,222733
Nasarawa State,3929
Niger State,6606
Ogun State,8157
Ondo State,5320
Osun State,6694
Oyo State,24036
Plateau State,27556
Rivers State,26136
Sokoto State,5255
Taraba State,4329
Unknown,≤100
Yobe State,2721
Zamfara State,2428
