Location name,Amount spent (NGN)
Abia State,23288
Adamawa State,11259
Akwa Ibom State,14654
Anambra State,16450
Bauchi State,10004
Bayelsa State,2354
Benué State,8061
Borno State,11917
Cross River State,5489
Delta State,14574
Ebonyi State,4862
Edo State,31650
Ekiti State,4382
Enugu State,16603
Federal Capital Territory,58304
Gombe State,6044
Imo State,8183
Jigawa State,4487
Kaduna State,36032
Kano State,89199
Katsina State,10523
Kebbi State,3514
Kogi State,6381
Kwara State,17927
Lagos State,225061
Nasarawa State,7764
Niger State,8928
Ogun State,9020
Ondo State,7270
Osun State,11222
Oyo State,37689
Plateau State,13768
Rivers State,33590
Sokoto State,11228
Taraba State,6005
Unknown,894
Yobe State,3314
Zamfara State,3113
