Page ID,Page name,Disclaimer,Amount spent (DKK),Number of ads in Library
101875098313543,Andel,Andel,15313,9
1595135787365287,Dansk Retursystem,Dansk Retursystem,11627,1
65929129383,Røde Kors,Røde Kors,9950,62
1507997959501973,Landbrug & Fødevarer,Landbrug & Fødevarer,6841,33
12860228293,Politiken,Politiken,6322,46
26458152911,SOS Børnebyerne,SOS Børnebyerne,6059,43
59143726810,Psykiatrifonden,Psykiatrifonden,5383,4
399210657232918,PlanBørnefonden,PlanBørnefonden,4393,32
5624899398,Mellemfolkeligt Samvirke,Mellemfolkeligt Samvirke,4297,22
38507331439,Danmarks Naturfredningsforening,Danmarks Naturfredningsforening,4129,23
116269191760882,DSB,DSB,3370,6
72672361910,Børns Vilkår,Børns Vilkår,3191,15
55365680705,Greenpeace Danmark,Greenpeace Danmark,2762,46
12787473132,Berlingske,Berlingske,2488,20
671022293105597,Alex Vanopslagh,Alex Vanopslagh,2328,21
104414898912918,GOTO Sønderborg,GOTO Sønderborg,2181,4
261599053881378,Fagbevægelsens Hovedorganisation,Fagbevægelsens Hovedorganisation,2086,5
748887235210811,Obton Forvaltning A/S,Obton Forvaltning A/S,1971,15
116227401722605,Dansk Flygtningehjælp,Dansk Flygtningehjælp,1922,73
108041771950114,Danmarksdemokraterne,Danmarksdemokraterne,1522,15
155596147784577,WWF Verdensnaturfonden,WWF Verdensnaturfonden,1461,3
144965885963,Oxfam Danmark,Oxfam Danmark,1375,8
867877683280051,Weekendavisen,Weekendavisen,1370,15
250994288337708,Sex og Samfund,Sex og Samfund,1316,4
41459763029,Socialdemokratiet,Socialdemokratiet,1237,12
110321008383861,Red Barnets landsindsamling,Red Barnet,1180,132
304554445813,Videncentret Bolius,Videncentret Bolius,1056,12
133707013355759,Danner,Danner,1046,1
223040066022,Enhedslisten,Enhedslisten,936,2
102154048301476,Lederstof.dk,Lederne,872,23
337166195327,BRYD TAVSHEDEN,BRYD TAVSHEDEN,868,23
100423681446198,Virksomhedsguiden,Erhvervsstyrelsen,865,9
437410226312057,Københavns Kommune,Københavns Kommune,857,8
350495955072656,Klimabevægelsen i Danmark,Klimabevægelsen i Danmark,823,4
126543540781090,Ældre Sagen,Ældre Sagen,770,28
246977185497434,Plastic Change,Plastic Change,732,22
36664432940,Amnesty International Danmark,Amnesty International Danmark,709,12
304554445813,Videncentret Bolius,Bolius,708,3
748887235210811,Obton Forvaltning A/S,Obton A/S,676,7
109012749124622,3F - Gør dig stærkere.,3F - Danmarks Stærkeste Fagforening,668,15
145392175531068,JydskeVestkysten,JydskeVestkysten,601,3
520449347983427,Dansk Folkeparti,Dansk Folkeparti,543,2
105511328705392,HØRT,Børns Vilkår,512,5
202627126417910,TAXA 4x35,Sammenslutningen Taxa 4x35,512,2
167891603415958,Lederne,Lederne,509,5
63691965101,UNICEF Danmark,UNICEF Danmark,500,9
21465928829,"Venstre, Danmarks Liberale Parti","Venstre, Danmarks Liberale Parti",460,7
287306323369,Børnecancerfonden,Børnecancerfonden,459,2
427213910721659,Dansk Blindesamfund,Dansk Blindesamfund,407,5
1704424023182897,Politiken Historie,Politiken Historie,351,14
239624940212,HK Kommunal,HK Kommunal,341,2
334571029981175,DM og MA studerende,DM,333,2
106242252762376,Fyens.dk,Fyens Stiftstidende,318,2
44741133186,Altinget.dk,These ads ran without a disclaimer,314,1
852608988134698,Tikko,Tikko,314,10
67571270393,Red Barnet,Red Barnet,301,6
107898832590939,European Commission,European Commission,283,2
356520931077196,Europabevægelsen,Europabevægelsen,273,6
153151900930,Ungdommens Røde Kors,Ungdommens Røde Kors,266,1
820072291706919,Sundhedstv,These ads ran without a disclaimer,246,1
141343589252160,Dansk Industri - DI,Dansk Industri,223,1
276770505228,Folkekirkens Nødhjælp,Folkekirkens Nødhjælp,217,2
339810463063059,Conflict Of Nations : World War 3,These ads ran without a disclaimer,209,4
1471913586453233,Organdonation - ja tak,Organdonation - ja tak,207,2
314676938743,DM din akademiske fagforening,DM,206,14
246097715413231,Alkohol & Samfund,Alkohol & Samfund,200,7
264009771074617,Niels Fuglsang,Niels Fuglsang,196,10
688468971281969,Varde Kommune,Varde Kommune,187,1
1991160524251313,Højskolen Mors,These ads ran without a disclaimer,186,1
107305428114846,Anja Rosengreen,Anja Rosengreen,175,1
111132358899118,Center for Militære Studier,"Center for Militære Studier, Københavns Universitet",172,1
305932686202047,Caritas Danmark,Caritas Danmark,164,1
657491824390744,Spring Copenhagen,Spring Copenhagen,150,10
108406658472664,Klimakampen,Klimakampen ApS,147,2
167887506877,AIDS-Fondet,AIDS-Fondet,147,1
186645960378,Danwatch,Danwatch,146,6
341299649231023,Zetland,Zetland,141,8
369336273158091,Land of Hope,Land of Hope,140,7
591683257511399,Sprøjtefri - Nej til sprøjtegifte i haven,VPU - Vandværkerne i Aarhus,124,3
217135424459,Karen Blixen Museum,Karen Blixen Museum,122,5
106355174776321,Christian Budde,Christian Budde,110,1
360787567740895,Volt Danmark,Volt Danmark,108,1
20303574131,Nationalmuseet,Nationalmuseet,105,13
167412043730,Venstres Ungdom - VU,Venstres Ungdom - VU,103,1
494902077334290,Tuborgfondet,Tuborgfondet,102,4
144098125661833,Nordea Invest,Nordea Invest,≤100,3
840208682708121,Fyns Amts Avis,Fyns Amts Avis,≤100,1
367522986719919,Gastech-Energi,Gastech-Energi A/S,≤100,3
862049590591113,Lærerstandens Brandforsikring,Lærerstandens Brandforsikring,≤100,1
142641498926,Fairtrade-mærket Danmark,Fairtrade Danmark,≤100,9
100263786205970,Job i Altiden,Altiden Ekko,≤100,4
74796954245,SF,SF,≤100,2
110834314440892,Saudi Green Initiative,These ads ran without a disclaimer,≤100,2
174887643104,Sisse Marie Welling,SF København,≤100,1
111860851169984,Lars Qvist,Lars Qvist,≤100,1
615028135227297,Institut for psykosomatik og følelsesforløsning,These ads ran without a disclaimer,≤100,1
101286428483346,Annette Blynel,SF - Socialistisk Folkeparti,≤100,2
154415494575789,IDA,IDA,≤100,2
192783424152018,Socialistisk Information,Socialistisk Information,≤100,3
257730662802548,Mission10forty,Mission10forty.org,≤100,6
110721302396563,Agri Nord,Agri Nord,≤100,1
1246666085407861,Karsten Hønge,SF,≤100,1
253132104886911,Kvisten,Kvisten,≤100,1
146956228206,Red Barnet Ungdom,Red Barnet Ungdom,≤100,1
880444655649267,Rasmus Steenberger,Rasmus Steenberger,≤100,1
297422283612612,TotalEnergies,TotalEnergies,≤100,2
808135809280401,historiskerejser.dk,Historiske Rejser ApS,≤100,2
134531969945616,Folkebevægelsen mod EU,Folkebevægelsen mod EU,≤100,2
227357657280228,Børnehjælpsdagen,Fonden Børnehjælpsdagen af 6. maj 1904,≤100,2
482695791907139,Danske Vandværker,Danske Vandværker,≤100,1
103170447987623,Rosa Lykke Yde - SF,SF Randers,≤100,1
194089010674568,Finansforbundet (DK),Finansforbundet (DK),≤100,6
12390252419,Region Nordjylland,Region Nordjylland,≤100,1
29097589538,Årsskriftet Critique,Årsskriftet Critique,≤100,2
353331228049945,Nicki Ottevig - Byrådsmedlem,Nicki Ottevig - Byrådsmedlem,≤100,3
137743846388571,Venstres Ungdom i Viborg,Venstres Ungdom i Viborg,≤100,1
550512865030230,Promissio,Promissio,≤100,1
314301147507,Astma-Allergi Danmark,Astma-Allergi Danmark,≤100,3
141140922630894,RED Center,RED Center,≤100,1
556916614320900,Konservative i Ringsted,Konservative i Ringsted,≤100,1
129940943738051,Odense ser Rødt,Odense ser Rødt,≤100,1
180519405977219,Frederiksværk Krisecenter,Frederiksværk Krisecenter,≤100,2
102031171445921,Grønne Nabofællesskaber,Grønne Nabofællesskaber,≤100,3
820070458166704,Nicolai Sandager - Liberal Alliance,Nicolai Sandager - Liberal Alliance,≤100,3
123114457761430,Valby Lokaludvalg,Valby Lokaludvalg,≤100,1
100588538904188,Kim Andkjær Doberck Nye Borgerlige,Kim Andkjær Doberck Nye Borgerlige,≤100,2
107575374711850,SAGA DK,Saga,≤100,1
376442055780548,"Søren Søndergaard, formand for Landbrug & Fødevarer",Landbrug & Fødevarer,≤100,1
111210480291603,European Youth International,European Youth International,≤100,1
168403354197,Kragerup Gods,These ads ran without a disclaimer,≤100,1
1746457218929172,"Peter Faarbæk, byrådet Høje-Taastrup","Peter Faarbæk, byrådet Høje-Taastrup",≤100,1
297422283612612,TotalEnergies,These ads ran without a disclaimer,≤100,1
102268428428778,Glenn Holland - Politiker,These ads ran without a disclaimer,≤100,3
109762835378467,Jeppe Hedaa - KD,These ads ran without a disclaimer,≤100,1
205332123261241,Знакомства RusDate,These ads ran without a disclaimer,≤100,2
178362315106,European Parliament,European Parliament,≤100,6
105032674942267,Hans-Christian Gjerlevsen Nye Borgerlige,Hans-Christian Gjerlevsen Nye Borgerlige,≤100,1
267353906619818,Mr. Gugu & Miss Go,These ads ran without a disclaimer,≤100,1
143034115756942,Merkur Andelskasse,Merkur Andelskasse,≤100,1
