Page ID,Page name,Disclaimer,Amount spent (UYU),Number of ads in Library
2229936167288652,Juan Sartori,Equipo Juan Sartori,4609,4
105372794744976,Intendencia de Paysandú,Intendencia Departamental de Paysandú,935,1
114986235237547,CERES Uruguay,CERES Uruguay,861,2
165920193432209,Intendencia de Montevideo,Intendencia de Montevideo,839,8
2101673416799600,El Día UY,El Día UY,785,1
225968600759645,Andrés Lima,Andrés Lima,449,5
100492222711808,Somos Todos Uruguayos,Somos Todos Uruguayos,257,4
339506493370193,Richard Sander,Richard Sander,199,1
984834781647717,Diputada Alexandra Inzaurralde,Diputada Alexandra Inzaurralde,187,1
182064165247111,Fronteira Criativa,These ads ran without a disclaimer,≤100,1
100461366389167,Bienestar Social IDR,Bienestar Social IDR,≤100,1
124189860659195,Astro Conducta,These ads ran without a disclaimer,≤100,1
608650595820049,The Conqueror Challenges,These ads ran without a disclaimer,≤100,2
100115149656982,Bárbara Andrade Advogada,These ads ran without a disclaimer,≤100,1
294017310722101,Senador Dupont,These ads ran without a disclaimer,≤100,3
204223673035117,MBL - Movimento Brasil Livre,These ads ran without a disclaimer,≤100,1
304971412943967,Instituto de Zumpango en Estudios Superiores en Criminalística IZESC,These ads ran without a disclaimer,≤100,1
880611255347800,Phoenix TV 鳳凰衛視,These ads ran without a disclaimer,≤100,1
349791962189803,The Bridesblush Social,These ads ran without a disclaimer,≤100,1
104648981195021,The Oxygen Project ES,These ads ran without a disclaimer,≤100,2
495120413892979,History vs. Hollywood,These ads ran without a disclaimer,≤100,1
260505207474088,Libélula Cambio Climático,These ads ran without a disclaimer,≤100,1
103699538681659,tiagosantiagomll,These ads ran without a disclaimer,≤100,1
116603861327799,alex_sa.c,These ads ran without a disclaimer,≤100,1
108625789179165,Soi Dog Foundation,These ads ran without a disclaimer,≤100,1
552790635089157,The Secular Community,These ads ran without a disclaimer,≤100,1
107239145112173,Color Me Fun,These ads ran without a disclaimer,≤100,1
106170661628518,香港V,These ads ran without a disclaimer,≤100,1
299227550122220,Radio Cina Internazionale,These ads ran without a disclaimer,≤100,1
1759600304366914,Gatil British Barbato,These ads ran without a disclaimer,≤100,1
