Location name,Amount spent (NGN)
Abia State,7698
Adamawa State,10495
Akwa Ibom State,4580
Anambra State,3352
Bauchi State,7167
Bayelsa State,2060
Benué State,2172
Borno State,4017
Cross River State,3775
Delta State,13683
Ebonyi State,2201
Edo State,14192
Ekiti State,1186
Enugu State,8682
Federal Capital Territory,86173
Gombe State,10839
Imo State,8023
Jigawa State,1164
Kaduna State,15720
Kano State,25172
Katsina State,7182
Kebbi State,1103
Kogi State,3279
Kwara State,5821
Lagos State,206715
Nasarawa State,4191
Niger State,5380
Ogun State,10742
Ondo State,2280
Osun State,3131
Oyo State,12940
Plateau State,7749
Rivers State,17816
Sokoto State,3793
Taraba State,1560
Unknown,≤100
Yobe State,2245
Zamfara State,1755
