Page ID,Page name,Disclaimer,Amount spent (EUR),Number of ads in Library
81004804444,Liberalai,Liberalai,225,14
176464169358846,Lygių galimybių kontrolieriaus tarnyba,Lygių galimybių kontrolieriaus tarnyba,184,6
101363029539404,CropLife Lietuva,CropLife Lietuva,130,3
93535661889,TV3 televizija,TV3 televizija,≤100,23
660181434095864,Visų reikalas,Lygių galimybių kontrolieriaus tarnyba,≤100,3
460195401047293,Enefit Lietuva,Enefit Lietuva,≤100,9
393195034595433,Laisvės partija,Laisvės partija,≤100,7
198404080183024,Swedbank Lietuvoje,„Swedbank“ Lietuvoje,≤100,8
76783564232,Europos Komisijos atstovybė Lietuvoje,Europos Komisijos atstovybė Lietuvoje,≤100,3
107898832590939,European Commission,European Commission,≤100,4
103847712206,„Ekonomikos ir politikos žurnalas Valstybė“,Demokratijos plėtros fondas VšĮ,≤100,2
1085608784979392,Visuomenės ir verslo plėtros institutas,Visuomenės ir verslo plėtros institutas,≤100,3
147547541961576,Council of the European Union,Council of the European Union,≤100,8
285646515182256,Finansų ministerija,Finansų ministerija,≤100,1
103869638236737,MSD Lietuva,MSD,≤100,1
125379923659,Valdovų Rūmai,Palace of the Grand Dukes of Lithuania (Nacionalinis muziejus Lietuvos Didžiosios Kunigaikštystės valdovų rūmai),≤100,3
943920815656380,Laisvos visuomenės institutas,Laisvos visuomenės institutas,≤100,1
585702754804749,Kretingos moterų informacijos ir mokymo centras,Kretingos moterų informacijos ir mokymo centras,≤100,10
178362315106,European Parliament,European Parliament,≤100,5
738507292917894,Peticijos.lt,"Peticijos, VšĮ",≤100,1
200480966638039,Supremacy 1914,These ads ran without a disclaimer,≤100,2
202360056491831,Lietuvos socialdemokratų partija - LSDP,Lietuvos socialdemokratų partija - LSDP,≤100,5
187111975181,Knygynų tinklas „Pegasas“,Pegasas,≤100,1
287613331259579,M.G.Maksimalietis,M.G.Maksimalietis,≤100,1
264116120225,Darbo partija,Darbo partija,≤100,1
908109372657935,Neįgaliųjų reikalų departamentas prie SADM,Neįgaliųjų reikalų departamentas prie Socialinės apsaugos ir darbo ministerijos,≤100,4
106971448095397,ŽPV prevencija,MSD,≤100,2
161849889003,Tolerantiško jaunimo asociacija,Tolerantiško jaunimo asociacija,≤100,4
175147320246,Lietuvos Respublikos Krašto apsaugos ministerija,Krašto apsaugos ministerija,≤100,1
630229464086126,Lindström,Lindström,≤100,1
539214349429850,Vilniaus liberalai,Vilniaus liberalai,≤100,1
1052857804792527,Asta Kubilienė LR Seimo narė,Asta Kubilienė,≤100,2
114990519889022,Edita Rudelienė,Edita Rudelienė,≤100,1
102769704845804,LRT Новости,Lithuanian National Radio and Television (LRT),≤100,1
1739968129576961,Mindaugas Puidokas,Puidokas Mindaugas,≤100,1
448461775178435,Julius SABATAUSKAS,Julius Sabatauskas,≤100,1
106094655001371,Robertas Kaunas,Robertas Kaunas,≤100,1
106724180893862,Rasa Juknevičienė,Rasa Jukneviciene,≤100,1
198988713464683,Tėvynės sąjunga - Lietuvos krikščionys demokratai (TS-LKD),TS-LKD,≤100,1
105263208546786,Sveikatos teisės institutas STI,"Sveikatos teisės institutas, VšĮ",≤100,1
101061639457084,Klaipėdos autobusų parkas,Klaipėdos autobusų parkas,≤100,1
100500041463161,Nenutrink medžio,VŠĮ „Už savus“,≤100,2
1569688113329878,Evony - The King's Return,These ads ran without a disclaimer,≤100,1
620244244655757,Akademinis politologų klubas,Akademinis politologų klubas,≤100,1
145625475453363,Estravel kelionių centras,These ads ran without a disclaimer,≤100,1
1594911447487724,Žurnalistų etikos inspektoriaus tarnyba,Žurnalistų etikos inspektoriaus tarnyba,≤100,1
527351247377965,European Committee of the Regions,European Committee of the Regions,≤100,4
100280532729177,RESET Air,These ads ran without a disclaimer,≤100,1
669307523469574,EveryJew,These ads ran without a disclaimer,≤100,9
125798504766046,Pukuotukas.com,These ads ran without a disclaimer,≤100,1
287842647957979,EU International Partnerships,These ads ran without a disclaimer,≤100,1
105699708610413,The Kyiv Independent,These ads ran without a disclaimer,≤100,1
101749628198714,Promova,These ads ran without a disclaimer,≤100,1
111014438406253,Trendyspread shop1,These ads ran without a disclaimer,≤100,2
110463704610731,Cute Kiwi,These ads ran without a disclaimer,≤100,1
842484635804171,International Expert,These ads ran without a disclaimer,≤100,1
113258091679175,DailyLion,These ads ran without a disclaimer,≤100,1
100627069630168,Cecília Martins,These ads ran without a disclaimer,≤100,2
153063591397681,Amazon Web Services,These ads ran without a disclaimer,≤100,1
2418643321715898,Daily Stickers,These ads ran without a disclaimer,≤100,1
102898939386527,Happy,These ads ran without a disclaimer,≤100,1
