Page ID,Page name,Disclaimer,Amount spent (ILS),Number of ads in Library
103851839280828,חופשי בארצנו - מטה המאבק,מטה המאבק - נלחמים על הדמוקרטיה,37661,60
103907495935157,צו חירום,צו חירום,17344,28
113172981678041,הביתה,הביתה,15433,42
111523625527552,התנועה לאיכות השלטון,התנועה לאיכות השלטון,2425,14
107217383988190,מגזין אפוק,Epoch Magazine,2036,29
141721971504,Histadrut - ההסתדרות החדשה,Histadrut - ההסתדרות החדשה,1310,8
482975571739120,ארגון המורים העל-יסודיים,ארגון המורים העל-יסודיים,1028,1
1073548259341247,לובי 99,לובי 99,1023,1
1915868198652314,האם ראית את האופק לאחרונה?,האם ראית את האופק לאחרונה?,955,4
305986442906304,סלע מאיר הוצאה לאור,סלע מאיר דיגיטל,944,15
178433145502975,Avigdor Liberman - אביגדור ליברמן,ישראל ביתנו,890,6
124395890927240,הקרן החדשה לישראל,הקרן החדשה לישראל,889,42
204780362875106,מקור ראשון,מקור ראשון,818,99
104016161489936,Israel siton,Israel Siton,761,7
132107110817900,"מרכז הנדל""ן","מרכז הנדל""ן",692,2
428948830813584,"מגדילים - האתר הישראלי להתחדשות עירונית ונדל""ן","מגדילים - האתר הישראלי להתחדשות עירונית ונדל""ן",668,14
256244498134186,אגף הביטחון - משרד ראש הממשלה,אגף הביטחון - משרד ראש הממשלה,599,2
140536699429565,המכון למחקרי ביטחון לאומי,המכון למחקרי ביטחון לאומי,579,8
116311335054069,My Israel | ישראל שלי,My Israel | ישראל שלי,538,8
311170359590719,ישראלים מדברים,The Brief,517,9
106136394376777,Idan Yakov,Rama Yarimi,478,4
1921160331531297,Act. تغيير اعلامي,סיכוי אופוק - سيكوي أفق,450,5
203379449685023,לוחמים לשלום,לוחמים לשלום,447,9
94258847306,האגודה לזכויות האזרח בישראל,האגודה לזכויות האזרח בישראל,437,9
604890186681585,מור ויצמן,Mor Weitzman,431,1
160178307760913,מחזקים,מחזקים,408,2
103624452596775,קידר פינגולד - לראשות המועצה האזורית יואב,יוניק מדיה,406,2
104743111658191,Ron Ben Shushan,רון בן שושן,395,1
371986449521679,הקרן למורשת הכותל המערבי,Tal Sanderoni,360,23
1392138171047822,"ארגון נכי צה""ל","ארגון נכי צה""ל",359,1
319459201991688,קדם - האיגוד לקידום קהילות דיור למבוגרים בישראל,א.ב.א - אגוד בתי האבות,350,1
107836625941364,Yair Lapid - יאיר לפיד,מפלגת יש עתיד,342,1
536794249813012,תומר גלאם - Tomer Glam,עיריית אשקלון,338,3
134896023193138,יוזמת ז'נבה,יוזמת ז'נבה,335,7
154698021323966,יוזמות אברהם  مبادرات  ابراهيم,יוזמות אברהם مبادرات ابراهيم,333,2
108193468503992,הסיטונים,Israel Siton,328,1
