Page ID,Page name,Disclaimer,Amount spent (PGK),Number of ads in Library
765439466917271,PNG SUN,PNG SUN,≤100,1
200480966638039,Supremacy 1914,These ads ran without a disclaimer,≤100,2
111505803727092,"Hon. Pila Niningi, LLB, MP",Thelma Kavanamur,≤100,1
100627069630168,Cecília Martins,These ads ran without a disclaimer,≤100,13
461895657190529,NHK WORLD-JAPAN,These ads ran without a disclaimer,≤100,1
75608370019,United States Institute of Peace,These ads ran without a disclaimer,≤100,1
287842647957979,EU International Partnerships,These ads ran without a disclaimer,≤100,1
120498394320803,C301-40,These ads ran without a disclaimer,≤100,1
2418643321715898,Daily Stickers,These ads ran without a disclaimer,≤100,1
110463704610731,Cute Kiwi,These ads ran without a disclaimer,≤100,1
111014438406253,Trendyspread shop1,These ads ran without a disclaimer,≤100,1
