Page ID,Page name,Disclaimer,Amount spent (KES),Number of ads in Library
1727289200726711,Search for Common Ground Kenya,Dominick Mwambui,1852,1
173516606349429,Hon Wavinya Ndeti,Wavinya Ndeti,1499,4
200480966638039,Supremacy 1914,These ads ran without a disclaimer,751,2
1400771023469241,Anne Waiguru,Gacigi Njagi Gacigi,556,1
105833652399018,Maina Karobia,Mwangi Godfrey Maina,195,1
115460141448310,Mathira Tv,Robert Waswa Simiyu,178,1
107410862226340,Make Africa Great Again,These ads ran without a disclaimer,111,1
112754900441156,DR. Kiarie Badilisha,Moses Ndirangu Badilisha Kiarie,108,1
194141207389467,Booker Ngesa Omole,Communist Party of Kenya,≤100,1
691631977553277,Nakuru County Government - Official,Martin Gicinga Macharia,≤100,1
584228022224839,,These ads ran without a disclaimer,≤100,1
112854258459158,,These ads ran without a disclaimer,≤100,1
484917995035641,"Dtr Owiti Owayo,FDR","Dtr Owiti Owayo,FDR",≤100,1
101460842681784,TRT Afrika,These ads ran without a disclaimer,≤100,1
110980888642151,Twibbon April,These ads ran without a disclaimer,≤100,4
131664893560695,Origins OSU,These ads ran without a disclaimer,≤100,1
876457109153657,PMNCH,These ads ran without a disclaimer,≤100,1
1655478897929127,Ladies Social Network,These ads ran without a disclaimer,≤100,1
17043549797,MIT Technology Review,These ads ran without a disclaimer,≤100,1
525421700832365,Protectors of The Wood Adventure Series,These ads ran without a disclaimer,≤100,1
105436942223080,"Yixing, China's Pottery City",These ads ran without a disclaimer,≤100,1
105494315161744,talkdiplomacy,These ads ran without a disclaimer,≤100,1
117039841320523,Big Pink Youth Dialogue,These ads ran without a disclaimer,≤100,1
494506774036569,FES Trade Union Competence Centre Sub-Saharan Africa - TUCC,These ads ran without a disclaimer,≤100,1
100374392742057,Weregreenly- Magazine,These ads ran without a disclaimer,≤100,1
102415047928145,Shanghai Electric,These ads ran without a disclaimer,≤100,1
1106316199392992,Bryan Lambo EFA Coaching,These ads ran without a disclaimer,≤100,1
