Location name,Amount spent (NGN)
Abia State,2531
Adamawa State,1375
Akwa Ibom State,3530
Anambra State,3239
Bauchi State,1560
Bayelsa State,915
Benué State,1942
Borno State,1152
Cross River State,1305
Delta State,6449
Ebonyi State,497
Edo State,3769
Ekiti State,370
Enugu State,6472
Federal Capital Territory,8115
Gombe State,11626
Imo State,997
Jigawa State,408
Kaduna State,5050
Kano State,8237
Katsina State,1105
Kebbi State,634
Kogi State,1111
Kwara State,1227
Lagos State,106693
Nasarawa State,859
Niger State,1415
Ogun State,2136
Ondo State,581
Osun State,615
Oyo State,2832
Plateau State,2613
Rivers State,10971
Sokoto State,1119
Taraba State,641
Unknown,≤100
Yobe State,693
Zamfara State,527
