Location name,Amount spent (NGN)
Abia State,3175
Adamawa State,1087
Akwa Ibom State,2832
Anambra State,2539
Bauchi State,1076
Bayelsa State,1569
Benué State,2233
Borno State,1621
Cross River State,1428
Delta State,4498
Ebonyi State,567
Edo State,4177
Ekiti State,2299
Enugu State,2321
Federal Capital Territory,12527
Gombe State,503
Imo State,1214
Jigawa State,253
Kaduna State,4710
Kano State,7648
Katsina State,1042
Kebbi State,345
Kogi State,939
Kwara State,2089
Lagos State,29341
Nasarawa State,1046
Niger State,1477
Ogun State,2527
Ondo State,2124
Osun State,2124
Oyo State,11322
Plateau State,3089
Rivers State,5234
Sokoto State,2027
Taraba State,1040
Unknown,≤100
Yobe State,709
Zamfara State,402
