Location name,Amount spent (NGN)
Abia State,1324
Adamawa State,1054
Akwa Ibom State,1672
Anambra State,1085
Bauchi State,782
Bayelsa State,962
Benué State,906
Borno State,1299
Cross River State,772
Delta State,1676
Ebonyi State,817
Edo State,1265
Ekiti State,403
Enugu State,912
Federal Capital Territory,7364
Gombe State,1157
Imo State,606
Jigawa State,300
Kaduna State,3453
Kano State,4825
Katsina State,1080
Kebbi State,326
Kogi State,2010
Kwara State,2539
Lagos State,27765
Nasarawa State,662
Niger State,1153
Ogun State,1186
Ondo State,850
Osun State,1263
Oyo State,5075
Plateau State,1887
Rivers State,3507
Sokoto State,1394
Taraba State,1341
Unknown,≤100
Yobe State,566
Zamfara State,413
