Location name,Amount spent (NGN)
Abia State,876
Adamawa State,989
Akwa Ibom State,1873
Anambra State,2983
Bauchi State,1411
Bayelsa State,737
Benué State,1404
Borno State,1133
Cross River State,1490
Delta State,11165
Ebonyi State,360
Edo State,975
Ekiti State,188
Enugu State,1008
Federal Capital Territory,6999
Gombe State,2713
Imo State,414
Jigawa State,343
Kaduna State,4517
Kano State,5582
Katsina State,1071
Kebbi State,361
Kogi State,402
Kwara State,1090
Lagos State,13524
Nasarawa State,750
Niger State,1193
Ogun State,632
Ondo State,514
Osun State,659
Oyo State,4714
Plateau State,1655
Rivers State,8386
Sokoto State,1101
Taraba State,770
Unknown,≤100
Yobe State,829
Zamfara State,558
