Location name,Amount spent (NGN)
Abia State,7255
Adamawa State,3476
Akwa Ibom State,3023
Anambra State,7906
Bauchi State,3639
Bayelsa State,1545
Benué State,2750
Borno State,2904
Cross River State,1218
Delta State,8069
Ebonyi State,1976
Edo State,5887
Ekiti State,1027
Enugu State,11084
Federal Capital Territory,18941
Gombe State,9070
Imo State,2792
Jigawa State,1214
Kaduna State,10979
Kano State,15903
Katsina State,3201
Kebbi State,876
Kogi State,1808
Kwara State,10352
Lagos State,83325
Nasarawa State,2269
Niger State,3464
Ogun State,11010
Ondo State,1686
Osun State,2336
Oyo State,8386
Plateau State,4408
Rivers State,14157
Sokoto State,3784
Taraba State,1525
Unknown,≤100
Yobe State,1768
Zamfara State,1525
