Location name,Amount spent (THB)
Amnat Charoen,≤100
Ang Thong,≤100
Ayutthaya,468
Bangkok,9778
Bueng Kan,≤100
Buriram,217
Chachoengsao,189
Chai Nat,≤100
Chaiyaphum,145
Chanthaburi,114
Chiang Mai,683
Chiang Rai,216
Chon Buri,445
Chumphon,302
Kalasin,144
Kamphaeng Phet,114
Kanchanaburi,177
Khon Kaen,354
Krabi,316
Lampang,162
Lamphun,110
Loei,≤100
Lop Buri,124
Mae Hong Son,≤100
Maha Sarakham,182
Mukdahan,≤100
Nakhon Nayok,≤100
Nakhon Pathom,229
Nakhon Phanom,103
Nakhon Ratchasima,446
Nakhon Sawan,437
Nakhon Si Thammarat,2160
Nan,≤100
Narathiwat,311
Nong Bua Lam Phu,≤100
Nong Khai,≤100
Nonthaburi,478
Pathum Thani,423
Pattani,378
Phangnga,217
Phatthalung,371
Phayao,≤100
Phetchabun,141
Phetchaburi,450
Phichit,285
Phitsanulok,2573
Phrae,≤100
Phuket,2707
Prachin Buri,114
Prachuap Khiri Khan,545
Ranong,123
Ratchaburi,181
Rayong,211
Roi Et,188
Sa Kaeo,≤100
Sakon Nakhon,168
Samut Prakan,330
Samut Sakhon,249
Samut Songkhram,≤100
Saraburi,129
Satun,177
Sing Buri,≤100
Sisaket,202
Songkhla,1429
Sukhothai,103
Suphan Buri,287
Surat Thani,5335
Surin,399
Tak,127
Trang,455
Trat,≤100
Ubon Ratchathani,343
Udon Thani,228
Unknown,≤100
Uthai Thani,≤100
Uttaradit,≤100
Yala Province,328
Yasothon,≤100
