Location name,Amount spent (NGN)
Abia State,858
Adamawa State,340
Akwa Ibom State,1012
Anambra State,2029
Bauchi State,382
Bayelsa State,161
Benué State,220
Borno State,572
Cross River State,831
Delta State,1535
Ebonyi State,174
Edo State,1426
Ekiti State,150
Enugu State,777
Federal Capital Territory,4231
Gombe State,165
Imo State,448
Jigawa State,≤100
Kaduna State,1433
Kano State,2921
Katsina State,324
Kebbi State,≤100
Kogi State,151
Kwara State,422
Lagos State,11191
Nasarawa State,249
Niger State,642
Ogun State,357
Ondo State,346
Osun State,357
Oyo State,3026
Plateau State,496
Rivers State,3449
Sokoto State,896
Taraba State,334
Unknown,≤100
Yobe State,198
Zamfara State,204
