Location name,Amount spent (NGN)
Abia State,2059
Adamawa State,2463
Akwa Ibom State,2255
Anambra State,3322
Bauchi State,2110
Bayelsa State,505
Benué State,2226
Borno State,2679
Cross River State,1864
Delta State,8234
Ebonyi State,282
Edo State,4430
Ekiti State,598
Enugu State,1053
Federal Capital Territory,9927
Gombe State,3444
Imo State,885
Jigawa State,360
Kaduna State,7204
Kano State,9369
Katsina State,1986
Kebbi State,1058
Kogi State,1177
Kwara State,2382
Lagos State,24440
Nasarawa State,1307
Niger State,1892
Ogun State,1482
Ondo State,1303
Osun State,1550
Oyo State,7912
Plateau State,3240
Rivers State,4889
Sokoto State,2469
Taraba State,1698
Unknown,≤100
Yobe State,1479
Zamfara State,1312
