Location name,Amount spent (THB)
Amnat Charoen,≤100
Ang Thong,265
Ayutthaya,1375
Bangkok,7433
Bueng Kan,≤100
Buriram,225
Chachoengsao,131
Chai Nat,≤100
Chaiyaphum,153
Chanthaburi,103
Chiang Mai,398
Chiang Rai,261
Chon Buri,443
Chumphon,200
Kalasin,128
Kamphaeng Phet,102
Kanchanaburi,176
Khon Kaen,517
Krabi,223
Lampang,160
Lamphun,≤100
Loei,≤100
Lop Buri,129
Mae Hong Son,≤100
Maha Sarakham,168
Mukdahan,≤100
Nakhon Nayok,≤100
Nakhon Pathom,230
Nakhon Phanom,≤100
Nakhon Ratchasima,506
Nakhon Sawan,199
Nakhon Si Thammarat,1306
Nan,≤100
Narathiwat,≤100
Nong Bua Lam Phu,≤100
Nong Khai,≤100
Nonthaburi,585
Pathum Thani,596
Pattani,102
Phangnga,≤100
Phatthalung,175
Phayao,≤100
Phetchabun,144
Phetchaburi,109
Phichit,171
Phitsanulok,1565
Phrae,≤100
Phuket,882
Prachin Buri,≤100
Prachuap Khiri Khan,223
Ranong,≤100
Ratchaburi,174
Rayong,168
Roi Et,182
Sa Kaeo,≤100
Sakon Nakhon,160
Samut Prakan,373
Samut Sakhon,219
Samut Songkhram,≤100
Saraburi,270
Satun,≤100
Sing Buri,≤100
Sisaket,188
Songkhla,779
Sukhothai,121
Suphan Buri,493
Surat Thani,5210
Surin,184
Tak,120
Trang,446
Trat,≤100
Ubon Ratchathani,392
Udon Thani,233
Unknown,≤100
Uthai Thani,≤100
Uttaradit,≤100
Yala Province,≤100
Yasothon,≤100
