Location name,Amount spent (NGN)
Abia State,1319
Adamawa State,893
Akwa Ibom State,880
Anambra State,1369
Bauchi State,816
Bayelsa State,240
Benué State,602
Borno State,822
Cross River State,460
Delta State,2234
Ebonyi State,1514
Edo State,650
Ekiti State,599
Enugu State,1048
Federal Capital Territory,8190
Gombe State,1083
Imo State,838
Jigawa State,259
Kaduna State,2813
Kano State,4261
Katsina State,892
Kebbi State,289
Kogi State,962
Kwara State,1364
Lagos State,10261
Nasarawa State,551
Niger State,1184
Ogun State,692
Ondo State,870
Osun State,1040
Oyo State,2841
Plateau State,1040
Rivers State,1924
Sokoto State,877
Taraba State,437
Unknown,≤100
Yobe State,523
Zamfara State,577
