Page ID,Page name,Disclaimer,Amount spent (TWD),Number of ads in Library
105556085524776,Twpca-台灣野良犬照護協會,Twpca-台灣野良犬照護協會,18693,4
238507146264909,國際特赦組織 台灣分會 Amnesty International Taiwan,國際特赦組織 台灣分會 Amnesty International Taiwan,17864,148
693907914395620,良杯製所 Oolab,良杯製所 Oolab,14901,9
101046209392101,新事貸-新鑫特優經銷商,新事貸-新鑫特優經銷商,14619,1
148475335184300,Greenpeace 綠色和平 (台灣網站),Greenpeace 綠色和平 (台灣網站),12903,35
820612794778213,渣打銀行 Taiwan,渣打國際商業銀行,9315,8
467933563234921,南門書局-網路圖書名店、也有實體店面，誠信可靠！,玉河 孫,8197,6
106801464127093,目目非營利 MUVE NPO,目目非營利,7872,14
246517878713911,劉家昌,勇勳沈,7647,1
177161918975981,基督教芥菜種會,基督教芥菜種會,5921,39
105864701769057,瑞馳智庫學院,瑞馳智庫股份有限公司,4081,3
201785650801,亞洲大學(Asia University Taiwan),亞洲大學,3539,15
211730475524462,大陸委員會,大陸委員會,3267,8
104381935820077,南方，寂寞鐵道 On The Train,貝殼放大股份有限公司,3002,7
1436850183290438,One-Forty,One-Forty,2910,6
109462390640602,企業勞動法務管理顧問-勞動契約、勞資爭議、勞務健檢、教育訓練、法律事務、法律風險控管,芸廷 林,2224,37
1649523455281990,遠山呼喚,遠山呼喚,2140,3
365320250345879,林昶佐 Freddy Lim,林昶佐國會辦公室,2086,1
132727540081371,立法委員賴惠員,立法委員賴惠員,1914,3
1621835121361449,陳超明-阿明哥粉絲團,超明 陳,1786,5
322447507832934,文茜的世界周報 Sisy's World News,文耀胡,1668,1
436843193180529,Unipapa,Unipapa,1613,11
997683843637673,蔡培慧 慧做事真實在,蔡培慧 慧做事真實在,1573,4
235679595900,民視新聞,民視新聞,1428,7
465616346853075,RE-THINK 重新思考,RE-THINK 重新思考,1375,9
101355918337667,地天泰國際顧問有限公司,地天泰國際顧問有限公司,1299,4
171759036215066,創世紀不動產教育訓練中心,Micky  Wu,1258,14
1920645851573536,未來城市FutureCity,天下雜誌,1118,2
106265361106594,海鼎離岸風電計畫 Formosa III,品典周,1057,1
174567875906128,Epson,台灣愛普生科技股份有限公司,985,3
219315794887869,聯合報,聯合報股份有限公司,935,8
375176372888863,桃園電子報,桃園電子報,927,2
104624290080479,張育美,翊斌黃,925,4
779960838880307,蔡蕥鍹,蕥鍹 蔡,918,2
1629474157289221,小牛頓,小牛頓科學教育有限公司,859,5
481065478629613,The News Lens 關鍵評論網,The News Lens 關鍵評論網,788,1
106118168971467,債務人權益協會 扣薪 協商 更生 清算,傢宇 吳,788,1
188358792124,聯經出版,聯經出版,777,6
1537741526464370,桃園市議長邱奕勝,奕勝 邱,738,3
131410820262008,宏其婦幼醫院,宏其婦幼醫院,705,3
347432368933987,LINE TODAY Taiwan,LINE TODAY Taiwan,702,3
195890640463420,台灣永續能源研究基金會 Taiwan Institute for Sustainable Energy (TAISE),Che Hui Chu,684,1
1487218698275407,南門書局二店-網路特價書店-也有實體店面，價格親民，誠信可靠的老店。（師友文化）,玉河 孫,680,1
390569611008641,願景工程基金會 Vision Project,願景工程基金會,678,22
170671044596,天主教善牧基金會,天主教善牧基金會,654,10
101718182459153,天秤座戰士,Companionship Digital,640,3
195094157238158,好立委 楊瓊瓔,宛儀林,636,3
317996258579415,黃家齊,黃家齊,633,1
189061482332,張嘉郡,嘉郡張,630,4
124473380937123,勵馨基金會 The Garden of Hope Foundation,勵馨基金會 The Garden of Hope Foundation,623,1
100714476220256,永續金融先行者聯盟,永續金融先行者聯盟,620,14
108696572024879,民視嘎哩供,民視新聞,618,5
1921016244677218,國際橋牌社 Island Nation,國際橋牌社 Island Nation,594,1
