Location name,Amount spent (NGN)
Abia State,25316
Adamawa State,8520
Akwa Ibom State,7887
Anambra State,16352
Bauchi State,6043
Bayelsa State,6677
Benué State,9277
Borno State,6382
Cross River State,4765
Delta State,14658
Ebonyi State,3252
Edo State,11356
Ekiti State,3625
Enugu State,15895
Federal Capital Territory,44170
Gombe State,7331
Imo State,11080
Jigawa State,1845
Kaduna State,25521
Kano State,37417
Katsina State,5704
Kebbi State,1751
Kogi State,4622
Kwara State,11842
Lagos State,263159
Nasarawa State,4844
Niger State,6719
Ogun State,8213
Ondo State,7014
Osun State,8234
Oyo State,27795
Plateau State,13241
Rivers State,23952
Sokoto State,6047
Taraba State,4649
Unknown,121
Yobe State,2680
Zamfara State,2416
