Location name,Amount spent (NGN)
Abia State,1952
Adamawa State,670
Akwa Ibom State,2709
Anambra State,1925
Bauchi State,588
Bayelsa State,198
Benué State,4811
Borno State,1349
Cross River State,3704
Delta State,3789
Ebonyi State,527
Edo State,3782
Ekiti State,707
Enugu State,1651
Federal Capital Territory,11533
Gombe State,1784
Imo State,2778
Jigawa State,217
Kaduna State,2877
Kano State,4705
Katsina State,678
Kebbi State,207
Kogi State,1064
Kwara State,5230
Lagos State,36747
Nasarawa State,422
Niger State,1111
Ogun State,1552
Ondo State,1320
Osun State,1375
Oyo State,8552
Plateau State,1988
Rivers State,10347
Sokoto State,652
Taraba State,2278
Unknown,≤100
Yobe State,298
Zamfara State,1020
