Page ID,Page name,Disclaimer,Amount spent (CAD),Number of ads in Library
184257548280251,Alberta's NDP,Alberta's NDP,6728,10
155609655007428,United Conservative Party of Alberta,United Conservative Party of Alberta,6337,15
149042028439970,Alberta Federation of Labour,Alberta Federation of Labour,3495,14
169928686425623,UFCW Local 401,UFCW Local 401,3068,22
127240117332122,Volvo Car Canada,Volvo Car Canada,2765,2
844239722367708,Innovative Medicines Canada / Médicaments novateurs Canada,Innovative Medicines Canada / Médicaments novateurs Canada,2372,219
103805636333615,Quality Canadian Milk - Lait canadien de qualité,Quality Canadian Milk - Lait canadien de qualité,2213,14
689157954518219,Danielle Smith,United Conservative Party,1889,5
163336718421,PSAC - AFPC,PSAC - AFPC,1857,2
232428989879,Maybelline New York,Maybelline New York,1819,12
186266941387011,BMO Financial Group,BMO Financial Group,1621,4
171838976178751,Canadian Women's Foundation,Canadian Women's Foundation,1594,33
2130035313905321,Miranda Rosin,Miranda Dawn Rosin,1293,39
270323369737229,Elections Alberta,Elections Alberta,1289,19
439345863190331,Brad Bradford,Brad Bradford Campaign,1241,49
100998136112502,𝒀𝒐𝒖𝒓 𝒃𝒆𝒔𝒕 𝒂𝒅𝒗𝒊𝒔𝒐𝒓,These ads ran without a disclaimer,1169,9
154450024654,BC Teachers' Federation (BCTF),BC Teachers' Federation,1093,28
102828041144081,Here For Students,Here For Students,1091,6
115835521825983,UNHCR Canada,UNHCR Canada,1090,16
117109432079,CAMH Foundation,CAMH Foundation,1081,35
405377872902754,Canada Action,Canada Action,1003,29
196322807083503,OECTA - Ontario English Catholic Teachers Association,OECTA - Ontario English Catholic Teachers Association,997,13
376006035816016,Storyworth,These ads ran without a disclaimer,996,11
186752164845450,Ana Bailao,Ana Bailao,916,1
154462904588700,Enbridge Gas,Enbridge Gas,914,49
106348682400630,Nova - AI Chatbot,These ads ran without a disclaimer,885,3
108635379686,CNIB,CNIB,823,13
901776976544599,RBC Wealth Management,RBC Wealth Management,816,4
106183171866567,Fairness for Drivers,Fairness for Drivers,730,16
197337921788,Dying With Dignity Canada,Dying With Dignity Canada,729,31
27234020592,UNICEF Canada,UNICEF Canada,712,12
163292090362894,Heart & Stroke Lottery,Heart & Stroke Lottery,699,2
106231507615280,Delivering Community Power - Vers des collectivités durables,Canadian Union of Postal Workers,688,7
23543314803,CUPE SCFP,CUPE SCFP,623,8
281999881613,World Vision Canada,World Vision Canada,613,5
121818350969,AUPE - Alberta Union of Provincial Employees,Alberta Union of Provincial Employees,608,19
261752512263,Canadian Red Cross,Canadian Red Cross,584,4
9333642607,TELUS,TELUS,561,2
107385241806,Plan International Canada,Plan International Canada,556,53
2130035313905321,Miranda Rosin,Miranda Rosin,555,25
633812813408377,Elections Canada,Elections Canada,554,20
106172275200668,GetBuilding,GetBuilding,549,11
283487578481273,Énergir,Énergir,543,10
186062823629,Québec sans tabac,Conseil québécois sur le tabac et la santé,533,12
232894981968,Nature Conservancy of Canada / Conservation de la nature Canada,Nature Conservancy of Canada / Conservation de la nature Canada,524,79
590117937780756,Oil Sands Action,Canada Action,520,5
110905578614041,Drax Group Canada,Drax Group Canada,516,88
1755517074486412,Giorgio Mammoliti,Giorgio Mammoliti Campaign,502,4
453724058039992,viaSport British Columbia,viaSport British Columbia,494,17
5661704203,Conservative Party of Canada - Parti conservateur du Canada,Conservative Party of Canada - Parti conservateur du Canada,447,47
268823146480333,Fondation INCA,INCA,445,40
114849617772737,Care2 Canada,Press Pause Collective,414,19
6095483909,Canadian Taxpayers Federation,Canadian Taxpayers Federation,409,47
31912359596,University of Saskatchewan,University of Saskatchewan,406,9
1097840090260804,National Police Federation,National Police Federation,406,116
235872037238940,She Is Indigenous,Les Femmes Michif Otipemisiwak / Women of the Métis Nation,405,172
113707256426,Rachel Notley,Alberta's NDP,394,2
625254780822339,CUPE Manitoba,CUPE MB,385,8
105873229097310,Amritpal Singh Matharu for Edmonton-Meadows,Amritpal Singh Matharu for Edmonton-Meadows,385,4
263417217038472,Forest Products Association of Canada,Forest Products Association of Canada,375,26
160136850711053,CUPE Ontario,CUPE Ontario,373,23
19750184960,Greenpeace Canada,Greenpeace Canada,371,187
372498358268,Manitoba NDP Caucus,Manitoba NDP Caucus,357,16
354244238489143,"Rakhi Pancholi, MLA Edmonton-Whitemud","Rakhi Pancholi, MLA Edmonton-Whitemud",347,2
510183342342621,Bell MTS,Lavanya Rajaian,345,4
106917558391358,Alliance Nouvelles voies,Pathways Alliance,323,4
397610640623766,Saskatchewan Teachers' Federation,Saskatchewan Teachers' Federation,320,9
152467601467262,BMO Groupe financier,BMO Financial Group,309,4
143249880633,World Animal Protection Canada,World Animal Protection Canada,308,30
925033857594085,SureHealth Canada by GreenShield,SureHealth,301,77
177741812241442,SCFP-Québec,le SCFP,301,71
