Page ID,Page name,Disclaimer,Amount spent (VEF),Number of ads in Library
564188034075673,Roberto Enriquez,an advertiser in Venezuela,59500000,2
101084619090775,Gonzalez10ana,an advertiser in Venezuela,1102500,1
358442097543367,Materia,These ads ran without a disclaimer,543600,2
405379246524515,DHL Express,These ads ran without a disclaimer,543600,1
105971132265220,Luis Fernando Guerra O,an advertiser in Venezuela,500000,1
200480966638039,Supremacy 1914,These ads ran without a disclaimer,317984,2
112753131667100,Angie Mentoring,These ads ran without a disclaimer,250000,1
112598588436075,notituy24,These ads ran without a disclaimer,250000,1
1702138929926817,Mongabay Latam,These ads ran without a disclaimer,102500,1
975350039244736,Panorama Acuícola Magazine,These ads ran without a disclaimer,36610,1
146822255731958,Fast Travel Games,These ads ran without a disclaimer,22351,1
103101872615379,AKK03,These ads ran without a disclaimer,≤100,1
106765298897445,Mineração Inteligente,These ads ran without a disclaimer,≤100,1
150793518281117,Covestro,These ads ran without a disclaimer,≤100,1
109062828734912,Юридические услуги,These ads ran without a disclaimer,≤100,1
771462172882741,OnePath Network,These ads ran without a disclaimer,≤100,1
1619251248368058,Falso Budismo: Lamaismo Tibetano,These ads ran without a disclaimer,≤100,1
100946331929105,Schola Palatina,These ads ran without a disclaimer,≤100,1
95775573753,Frontiers,These ads ran without a disclaimer,≤100,1
17043549797,MIT Technology Review,These ads ran without a disclaimer,≤100,1
354397697217,IEEE Xplore,These ads ran without a disclaimer,≤100,1
105494315161744,talkdiplomacy,These ads ran without a disclaimer,≤100,1
1834313933459789,BBC StoryWorks,These ads ran without a disclaimer,≤100,1
123465590650551,Allied Health Group USA,These ads ran without a disclaimer,≤100,1
