Page ID,Page name,Disclaimer,Amount spent (TND),Number of ads in Library
110514924199743,Fadhel Abdelkefi - فاضل عبد الكافي,Afek Tounes,≤100,1
103682291614008,الصفحة الرسمية  نزار الوسلاتى  داكس nizar oueslati,These ads ran without a disclaimer,≤100,1
517098898323855,Jeunes Leaders de Tunis - القيادات الشّابّة بتــونس,Jeunes Leaders de Tunis - القيادات الشّابّة بتــونس,≤100,1
1407356206051371,الشيخ الدكتور وليد السمامعة,These ads ran without a disclaimer,≤100,1
100416934901628,Oasis Hunters,These ads ran without a disclaimer,≤100,1
322865159833,RCD Espanyol de Barcelona,These ads ran without a disclaimer,≤100,4
112957186910938,Brain Games,These ads ran without a disclaimer,≤100,1
101829932732646,Kamal Znidar,These ads ran without a disclaimer,≤100,1
2092924957605425,Solis,These ads ran without a disclaimer,≤100,1
111679394767549,المشروع القومي لمشتقات البلازما,These ads ran without a disclaimer,≤100,1
135073411731685,BBBgamers LiveShow,These ads ran without a disclaimer,≤100,1
409388396198516,Freeda ES,These ads ran without a disclaimer,≤100,1
209260229112443,Greenpeace غرينبيس,These ads ran without a disclaimer,≤100,2
107647258831836,Weregreenly- Magazine Page 3,These ads ran without a disclaimer,≤100,1
110486684822674,بلاصة لنادي باريس - Blassa L Club De Paris,These ads ran without a disclaimer,≤100,1
244196442342820,Muslim Pro,These ads ran without a disclaimer,≤100,1
1505333196415332,Côte d'Azur - школа французької мови,These ads ran without a disclaimer,≤100,1
