Page ID,Page name,Disclaimer,Amount spent (CAD),Number of ads in Library
167800183238142,YourAlberta (Government of Alberta),Government of Alberta,6537,26
154462904588700,Enbridge Gas,Enbridge Gas,3792,79
103805636333615,Quality Canadian Milk - Lait canadien de qualité,Dairy Farmers of Canada,3788,42
113969008665734,Ministère de la Santé et des Services sociaux (MSSS),Ministère de la Santé et Services sociaux,3773,24
203652059653094,Government of British Columbia,Government of British Columbia,3544,5
163336718421,PSAC - AFPC,PSAC - AFPC,3524,58
113297740077607,Canadian Energy Centre,Canadian Energy Centre,3310,125
184856436064,Canadian Centre for Child Protection,Canadian Centre for Child Protection,3308,13
632493333805962,Environment and Climate Change,Environment and Climate Change Canada,3070,15
109045051805492,Made The Canadian Way,Canadian Energy Centre,2762,20
405377872902754,Canada Action,Canada Action,1627,59
1876748445895294,Canadians for Affordable Energy,Canadians for Affordable Energy,1540,7
689157954518219,Danielle Smith,United Conservative Party,1495,2
230448456985193,Elections Ontario,Elections Ontario,1477,4
113707256426,Rachel Notley,Alberta's NDP Caucus,1374,2
1097840090260804,National Police Federation,National Police Federation,1135,88
146592973368,Sunnybrook Health Sciences Centre,Sunnybrook Foundation,1123,144
115835521825983,UNHCR Canada,UNHCR Canada,1025,36
394745970602999,The Council of Canadians,The Council of Canadians,990,20
196322807083503,OECTA - Ontario English Catholic Teachers Association,OECTA - Ontario English Catholic Teachers Association,980,13
544846182381424,United Conservative Caucus,United Conservative Caucus,932,26
108635379686,CNIB,CNIB,913,33
177004795666755,Manitoba Government,Manitoba Government,883,14
370233926766473,Environnement et Changement climatique,Environnement et Changement climatique Canada,831,15
447980405253906,Public Service Alliance of Canada - Prairie Region,Public Service Alliance of Canada - Prairie Region,830,11
177741812241442,SCFP-Québec,le SCFP,802,23
107385241806,Plan International Canada,Plan International Canada,779,57
211536155525838,ICI Estrie,ICI Estrie,767,33
197337921788,Dying With Dignity Canada,Dying With Dignity Canada,747,60
167577709932867,Fédération des professionnelles et  professionnels de l'éducation FPPE,Fédération des professionnelles et  professionnels de l'éducation FPPE,742,10
171838976178751,Canadian Women's Foundation,Canadian Women's Foundation,687,61
139019864276,Oxfam Canada,Oxfam Canada,671,57
190502667652613,Canada’s NDP / Le NPD du Canada,Canada’s NDP / Le NPD du Canada,652,1
124239144255718,City of Calgary – Your Local Government,City of Calgary – Your Local Government,649,3
106231507615280,Delivering Community Power - Vers des collectivités durables,Canadian Union of Postal Workers,621,10
270323369737229,Elections Alberta,Elections Alberta,617,16
269577048182,Stollery Children's Hospital Foundation,Stollery Children's Hospital Foundation,605,60
6095483909,Canadian Taxpayers Federation,Canadian Taxpayers Federation,580,63
171258630277,Commission des droits de la personne et des droits de la jeunesse,Commission des droits de la personne et des droits de la jeunesse,574,1
134147499998111,Ministère de la Sécurité publique du Québec,Ministère de la Sécurité publique,569,6
105168452865235,Bell Aliant,Bell,557,1
26394435211,Canadian Cancer Society,Canadian Cancer Society,521,1
186062823629,Québec sans tabac,Conseil québécois sur le tabac et la santé,514,12
5661704203,Conservative Party of Canada - Parti conservateur du Canada,Conservative Party of Canada - Parti conservateur du Canada,506,53
261752512263,Canadian Red Cross,Canadian Red Cross,494,4
235872037238940,She Is Indigenous,Les Femmes Michif Otipemisiwak / Women of the Métis Nation,490,130
16761458703,University of British Columbia,The University of British Columbia,474,6
113305766875943,SIDE-Sommet international de l'écocitoyenneté,SIDE-Sommet international de l'écocitoyenneté,467,61
31912359596,University of Saskatchewan,University of Saskatchewan,466,44
1456690611311640,Canadian Health Coalition,Canadian Health Coalition,465,23
222039741253078,CUPE Saskatchewan,CUPE Saskatchewan,455,10
52543970197,Environmental Defence Canada,Environmental Defence,436,7
