Location name,Amount spent (THB)
Amnat Charoen,≤100
Ang Thong,≤100
Ayutthaya,498
Bangkok,9552
Bueng Kan,≤100
Buriram,229
Chachoengsao,225
Chai Nat,≤100
Chaiyaphum,139
Chanthaburi,117
Chiang Mai,750
Chiang Rai,322
Chon Buri,470
Chumphon,286
Kalasin,137
Kamphaeng Phet,109
Kanchanaburi,164
Khon Kaen,289
Krabi,250
Lampang,189
Lamphun,102
Loei,≤100
Lop Buri,154
Mae Hong Son,≤100
Maha Sarakham,144
Mukdahan,≤100
Nakhon Nayok,≤100
Nakhon Pathom,310
Nakhon Phanom,≤100
Nakhon Ratchasima,435
Nakhon Sawan,337
Nakhon Si Thammarat,1709
Nan,≤100
Narathiwat,259
Nong Bua Lam Phu,≤100
Nong Khai,≤100
Nonthaburi,609
Pathum Thani,575
Pattani,401
Phangnga,141
Phatthalung,420
Phayao,≤100
Phetchabun,145
Phetchaburi,1133
Phichit,318
Phitsanulok,2803
Phrae,≤100
Phuket,1421
Prachin Buri,116
Prachuap Khiri Khan,368
Ranong,≤100
Ratchaburi,207
Rayong,210
Roi Et,175
Sa Kaeo,≤100
Sakon Nakhon,149
Samut Prakan,462
Samut Sakhon,323
Samut Songkhram,≤100
Saraburi,146
Satun,240
Sing Buri,≤100
Sisaket,193
Songkhla,2603
Sukhothai,105
Suphan Buri,448
Surat Thani,4581
Surin,1016
Tak,162
Trang,412
Trat,≤100
Ubon Ratchathani,328
Udon Thani,236
Unknown,≤100
Uthai Thani,≤100
Uttaradit,≤100
Yala Province,261
Yasothon,≤100
